Starting time: Sun Jul 28 03:46:34 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 16, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x15523f5acd30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_030200_obj_16
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_030200_obj_16 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6137, 'grad_norm': 3.716060161590576, 'learning_rate': 3.6697247706422023e-07, 'epoch': 0.18}
{'loss': 1.6088, 'grad_norm': 3.711653470993042, 'learning_rate': 7.339449541284405e-07, 'epoch': 0.37}
{'loss': 1.5951, 'grad_norm': 3.7034997940063477, 'learning_rate': 1.1009174311926608e-06, 'epoch': 0.55}
{'loss': 1.5757, 'grad_norm': 3.7092862129211426, 'learning_rate': 1.467889908256881e-06, 'epoch': 0.73}
{'loss': 1.5551, 'grad_norm': 3.6562840938568115, 'learning_rate': 1.8348623853211011e-06, 'epoch': 0.92}
{'loss': 1.5355, 'grad_norm': 3.6135966777801514, 'learning_rate': 2.2018348623853215e-06, 'epoch': 1.1}
{'loss': 1.5071, 'grad_norm': 3.555589437484741, 'learning_rate': 2.5688073394495415e-06, 'epoch': 1.28}
{'loss': 1.4677, 'grad_norm': 3.5096569061279297, 'learning_rate': 2.935779816513762e-06, 'epoch': 1.47}
{'loss': 1.4223, 'grad_norm': 3.4625706672668457, 'learning_rate': 3.302752293577982e-06, 'epoch': 1.65}
{'loss': 1.3706, 'grad_norm': 3.391615867614746, 'learning_rate': 3.6697247706422022e-06, 'epoch': 1.83}
{'loss': 1.3217, 'grad_norm': 3.269446849822998, 'learning_rate': 4.036697247706423e-06, 'epoch': 2.02}
{'loss': 1.2652, 'grad_norm': 3.1627984046936035, 'learning_rate': 4.403669724770643e-06, 'epoch': 2.2}
{'loss': 1.1958, 'grad_norm': 3.0375943183898926, 'learning_rate': 4.7706422018348626e-06, 'epoch': 2.39}
{'loss': 1.1143, 'grad_norm': 2.900876998901367, 'learning_rate': 5.137614678899083e-06, 'epoch': 2.57}
{'loss': 1.0215, 'grad_norm': 2.7283785343170166, 'learning_rate': 5.504587155963303e-06, 'epoch': 2.75}
{'loss': 0.9289, 'grad_norm': 2.461583137512207, 'learning_rate': 5.871559633027524e-06, 'epoch': 2.94}
{'loss': 0.8429, 'grad_norm': 2.1991095542907715, 'learning_rate': 6.238532110091744e-06, 'epoch': 3.12}
{'loss': 0.7504, 'grad_norm': 1.9379023313522339, 'learning_rate': 6.605504587155964e-06, 'epoch': 3.3}
{'loss': 0.6572, 'grad_norm': 1.7138844728469849, 'learning_rate': 6.972477064220184e-06, 'epoch': 3.49}
{'loss': 0.5658, 'grad_norm': 1.514190435409546, 'learning_rate': 7.3394495412844045e-06, 'epoch': 3.67}
{'loss': 0.4801, 'grad_norm': 1.3674216270446777, 'learning_rate': 7.706422018348624e-06, 'epoch': 3.85}
{'loss': 0.4174, 'grad_norm': 1.2429547309875488, 'learning_rate': 8.073394495412845e-06, 'epoch': 4.04}
{'loss': 0.3518, 'grad_norm': 1.180809497833252, 'learning_rate': 8.440366972477065e-06, 'epoch': 4.22}
{'loss': 0.2758, 'grad_norm': 1.1620285511016846, 'learning_rate': 8.807339449541286e-06, 'epoch': 4.4}
{'loss': 0.1879, 'grad_norm': 1.2131335735321045, 'learning_rate': 9.174311926605506e-06, 'epoch': 4.59}
{'loss': 0.0887, 'grad_norm': 1.2848907709121704, 'learning_rate': 9.541284403669725e-06, 'epoch': 4.77}
{'loss': 0.0039, 'grad_norm': 1.2045494318008423, 'learning_rate': 9.908256880733946e-06, 'epoch': 4.95}
{'loss': -0.0573, 'grad_norm': 1.072458267211914, 'learning_rate': 1.0275229357798166e-05, 'epoch': 5.14}
{'loss': -0.1353, 'grad_norm': 0.9790582656860352, 'learning_rate': 1.0642201834862387e-05, 'epoch': 5.32}
