Starting time: Sun Jul 28 03:46:51 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 21, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14b38ba00d30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_030200_obj_21
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_030200_obj_21 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6264, 'grad_norm': 3.628309488296509, 'learning_rate': 3.773584905660378e-07, 'epoch': 0.19}
{'loss': 1.6191, 'grad_norm': 3.6102030277252197, 'learning_rate': 7.547169811320755e-07, 'epoch': 0.38}
{'loss': 1.6126, 'grad_norm': 3.574601173400879, 'learning_rate': 1.1320754716981131e-06, 'epoch': 0.57}
{'loss': 1.5846, 'grad_norm': 3.5911455154418945, 'learning_rate': 1.509433962264151e-06, 'epoch': 0.75}
{'loss': 1.573, 'grad_norm': 3.548576831817627, 'learning_rate': 1.8867924528301887e-06, 'epoch': 0.94}
{'loss': 1.55, 'grad_norm': 3.488859176635742, 'learning_rate': 2.2641509433962262e-06, 'epoch': 1.13}
{'loss': 1.5148, 'grad_norm': 3.466038942337036, 'learning_rate': 2.6415094339622644e-06, 'epoch': 1.32}
{'loss': 1.484, 'grad_norm': 3.3933932781219482, 'learning_rate': 3.018867924528302e-06, 'epoch': 1.51}
{'loss': 1.4347, 'grad_norm': 3.3542397022247314, 'learning_rate': 3.3962264150943395e-06, 'epoch': 1.7}
{'loss': 1.3867, 'grad_norm': 3.261793613433838, 'learning_rate': 3.7735849056603773e-06, 'epoch': 1.89}
{'loss': 1.3389, 'grad_norm': 3.1529128551483154, 'learning_rate': 4.150943396226415e-06, 'epoch': 2.08}
{'loss': 1.2746, 'grad_norm': 3.081444263458252, 'learning_rate': 4.5283018867924524e-06, 'epoch': 2.26}
{'loss': 1.2073, 'grad_norm': 2.9320595264434814, 'learning_rate': 4.9056603773584915e-06, 'epoch': 2.45}
{'loss': 1.1289, 'grad_norm': 2.8003554344177246, 'learning_rate': 5.283018867924529e-06, 'epoch': 2.64}
{'loss': 1.0326, 'grad_norm': 2.6075639724731445, 'learning_rate': 5.660377358490566e-06, 'epoch': 2.83}
{'loss': 0.9486, 'grad_norm': 2.3807132244110107, 'learning_rate': 6.037735849056604e-06, 'epoch': 3.02}
{'loss': 0.8547, 'grad_norm': 2.161057233810425, 'learning_rate': 6.415094339622642e-06, 'epoch': 3.21}
{'loss': 0.7537, 'grad_norm': 1.8876845836639404, 'learning_rate': 6.792452830188679e-06, 'epoch': 3.4}
{'loss': 0.6697, 'grad_norm': 1.6545188426971436, 'learning_rate': 7.169811320754717e-06, 'epoch': 3.58}
{'loss': 0.5697, 'grad_norm': 1.4768189191818237, 'learning_rate': 7.547169811320755e-06, 'epoch': 3.77}
{'loss': 0.5024, 'grad_norm': 1.3427481651306152, 'learning_rate': 7.924528301886793e-06, 'epoch': 3.96}
{'loss': 0.4319, 'grad_norm': 1.2290105819702148, 'learning_rate': 8.30188679245283e-06, 'epoch': 4.15}
{'loss': 0.3395, 'grad_norm': 1.1804531812667847, 'learning_rate': 8.679245283018868e-06, 'epoch': 4.34}
{'loss': 0.2728, 'grad_norm': 1.1909513473510742, 'learning_rate': 9.056603773584905e-06, 'epoch': 4.53}
{'loss': 0.1765, 'grad_norm': 1.2148243188858032, 'learning_rate': 9.433962264150944e-06, 'epoch': 4.72}
{'loss': 0.0899, 'grad_norm': 1.241492509841919, 'learning_rate': 9.811320754716983e-06, 'epoch': 4.91}
{'loss': 0.0034, 'grad_norm': 1.23507821559906, 'learning_rate': 1.018867924528302e-05, 'epoch': 5.09}
{'loss': -0.0898, 'grad_norm': 1.0778602361679077, 'learning_rate': 1.0566037735849058e-05, 'epoch': 5.28}
{'loss': -0.1587, 'grad_norm': 1.0229969024658203, 'learning_rate': 1.0943396226415095e-05, 'epoch': 5.47}
{'loss': -0.2461, 'grad_norm': 1.0062006711959839, 'learning_rate': 1.1320754716981132e-05, 'epoch': 5.66}
{'loss': -0.34, 'grad_norm': 0.992131233215332, 'learning_rate': 1.169811320754717e-05, 'epoch': 5.85}
{'loss': -0.4303, 'grad_norm': 0.8988440632820129, 'learning_rate': 1.2075471698113209e-05, 'epoch': 6.04}
{'loss': -0.5307, 'grad_norm': 0.8895003795623779, 'learning_rate': 1.2452830188679246e-05, 'epoch': 6.23}
{'loss': -0.618, 'grad_norm': 0.7890841960906982, 'learning_rate': 1.2830188679245283e-05, 'epoch': 6.42}
{'loss': -0.6984, 'grad_norm': 0.8191723227500916, 'learning_rate': 1.320754716981132e-05, 'epoch': 6.6}
{'loss': -0.7832, 'grad_norm': 0.9521024227142334, 'learning_rate': 1.3584905660377358e-05, 'epoch': 6.79}
{'loss': -0.852, 'grad_norm': 0.940138578414917, 'learning_rate': 1.3962264150943397e-05, 'epoch': 6.98}
{'loss': -0.922, 'grad_norm': 0.87681645154953, 'learning_rate': 1.4339622641509435e-05, 'epoch': 7.17}
{'loss': -0.9906, 'grad_norm': 1.1040935516357422, 'learning_rate': 1.4716981132075472e-05, 'epoch': 7.36}
{'loss': -1.0509, 'grad_norm': 0.9167068004608154, 'learning_rate': 1.509433962264151e-05, 'epoch': 7.55}
{'loss': -1.1304, 'grad_norm': 0.9651883840560913, 'learning_rate': 1.5471698113207547e-05, 'epoch': 7.74}
{'loss': -1.1935, 'grad_norm': 1.0731925964355469, 'learning_rate': 1.5849056603773586e-05, 'epoch': 7.92}
{'loss': -1.2513, 'grad_norm': 1.3429973125457764, 'learning_rate': 1.622641509433962e-05, 'epoch': 8.11}
{'loss': -1.3085, 'grad_norm': 1.0881004333496094, 'learning_rate': 1.660377358490566e-05, 'epoch': 8.3}
{'loss': -1.3437, 'grad_norm': 1.3522447347640991, 'learning_rate': 1.69811320754717e-05, 'epoch': 8.49}
{'loss': -1.4037, 'grad_norm': 1.4643206596374512, 'learning_rate': 1.7358490566037735e-05, 'epoch': 8.68}
{'loss': -1.4495, 'grad_norm': 1.0541017055511475, 'learning_rate': 1.7735849056603774e-05, 'epoch': 8.87}
{'loss': -1.4878, 'grad_norm': 1.5377053022384644, 'learning_rate': 1.811320754716981e-05, 'epoch': 9.06}
{'loss': -1.529, 'grad_norm': 1.4341773986816406, 'learning_rate': 1.849056603773585e-05, 'epoch': 9.25}
{'loss': -1.5503, 'grad_norm': 1.7263965606689453, 'learning_rate': 1.8867924528301888e-05, 'epoch': 9.43}
{'loss': -1.5918, 'grad_norm': 1.2883485555648804, 'learning_rate': 1.9245283018867927e-05, 'epoch': 9.62}
{'loss': -1.6304, 'grad_norm': 1.5504504442214966, 'learning_rate': 1.9622641509433966e-05, 'epoch': 9.81}
{'loss': -1.6556, 'grad_norm': 1.800847053527832, 'learning_rate': 2e-05, 'epoch': 10.0}
{'loss': -1.6913, 'grad_norm': 1.6436136960983276, 'learning_rate': 2.037735849056604e-05, 'epoch': 10.19}
{'loss': -1.7113, 'grad_norm': 1.6085575819015503, 'learning_rate': 2.0754716981132076e-05, 'epoch': 10.38}
{'loss': -1.7351, 'grad_norm': 2.024611234664917, 'learning_rate': 2.1132075471698115e-05, 'epoch': 10.57}
{'loss': -1.7744, 'grad_norm': 1.4868274927139282, 'learning_rate': 2.1509433962264154e-05, 'epoch': 10.75}
{'loss': -1.7929, 'grad_norm': 1.5525262355804443, 'learning_rate': 2.188679245283019e-05, 'epoch': 10.94}
{'loss': -1.8211, 'grad_norm': 2.0651462078094482, 'learning_rate': 2.226415094339623e-05, 'epoch': 11.13}
{'loss': -1.8427, 'grad_norm': 2.428884506225586, 'learning_rate': 2.2641509433962265e-05, 'epoch': 11.32}
{'loss': -1.8528, 'grad_norm': 2.0985841751098633, 'learning_rate': 2.3018867924528304e-05, 'epoch': 11.51}
{'loss': -1.8901, 'grad_norm': 2.259340286254883, 'learning_rate': 2.339622641509434e-05, 'epoch': 11.7}
{'loss': -1.9105, 'grad_norm': 2.4876441955566406, 'learning_rate': 2.377358490566038e-05, 'epoch': 11.89}
{'loss': -1.9263, 'grad_norm': 2.203579902648926, 'learning_rate': 2.4150943396226418e-05, 'epoch': 12.08}
{'loss': -1.9478, 'grad_norm': 2.343186378479004, 'learning_rate': 2.4528301886792453e-05, 'epoch': 12.26}
{'loss': -1.9513, 'grad_norm': 2.3611721992492676, 'learning_rate': 2.4905660377358492e-05, 'epoch': 12.45}
{'loss': -1.9805, 'grad_norm': 3.4981205463409424, 'learning_rate': 2.5283018867924528e-05, 'epoch': 12.64}
{'loss': -1.9998, 'grad_norm': 2.991863250732422, 'learning_rate': 2.5660377358490567e-05, 'epoch': 12.83}
{'loss': -2.0109, 'grad_norm': 2.7007863521575928, 'learning_rate': 2.6037735849056606e-05, 'epoch': 13.02}
{'loss': -2.032, 'grad_norm': 3.1851837635040283, 'learning_rate': 2.641509433962264e-05, 'epoch': 13.21}
{'loss': -2.0373, 'grad_norm': 3.1342029571533203, 'learning_rate': 2.679245283018868e-05, 'epoch': 13.4}
{'loss': -2.0525, 'grad_norm': 3.001721143722534, 'learning_rate': 2.7169811320754716e-05, 'epoch': 13.58}
{'loss': -2.0795, 'grad_norm': 2.56219220161438, 'learning_rate': 2.7547169811320755e-05, 'epoch': 13.77}
{'loss': -2.0857, 'grad_norm': 3.2445433139801025, 'learning_rate': 2.7924528301886794e-05, 'epoch': 13.96}
{'loss': -2.1068, 'grad_norm': 3.8192691802978516, 'learning_rate': 2.830188679245283e-05, 'epoch': 14.15}
{'loss': -2.1136, 'grad_norm': 4.486073017120361, 'learning_rate': 2.867924528301887e-05, 'epoch': 14.34}
{'loss': -2.1202, 'grad_norm': 3.354820966720581, 'learning_rate': 2.9056603773584905e-05, 'epoch': 14.53}
{'loss': -2.1486, 'grad_norm': 3.173661470413208, 'learning_rate': 2.9433962264150944e-05, 'epoch': 14.72}
{'loss': -2.1587, 'grad_norm': 3.2132351398468018, 'learning_rate': 2.9811320754716983e-05, 'epoch': 14.91}
{'loss': -2.1695, 'grad_norm': 3.5744950771331787, 'learning_rate': 3.018867924528302e-05, 'epoch': 15.09}
{'loss': -2.1844, 'grad_norm': 3.7477798461914062, 'learning_rate': 3.056603773584906e-05, 'epoch': 15.28}
{'loss': -2.18, 'grad_norm': 3.7506048679351807, 'learning_rate': 3.094339622641509e-05, 'epoch': 15.47}
{'loss': -2.2088, 'grad_norm': 3.8800783157348633, 'learning_rate': 3.132075471698113e-05, 'epoch': 15.66}
{'loss': -2.2245, 'grad_norm': 3.890239953994751, 'learning_rate': 3.169811320754717e-05, 'epoch': 15.85}
{'loss': -2.2303, 'grad_norm': 3.9615044593811035, 'learning_rate': 3.207547169811321e-05, 'epoch': 16.04}
{'loss': -2.2504, 'grad_norm': 3.4094552993774414, 'learning_rate': 3.245283018867924e-05, 'epoch': 16.23}
{'loss': -2.2474, 'grad_norm': 3.8819146156311035, 'learning_rate': 3.2830188679245285e-05, 'epoch': 16.42}
{'loss': -2.2635, 'grad_norm': 3.936555862426758, 'learning_rate': 3.320754716981132e-05, 'epoch': 16.6}
{'loss': -2.2834, 'grad_norm': 3.769028425216675, 'learning_rate': 3.3584905660377356e-05, 'epoch': 16.79}
{'loss': -2.2871, 'grad_norm': 7.392530918121338, 'learning_rate': 3.39622641509434e-05, 'epoch': 16.98}
{'loss': -2.2999, 'grad_norm': 3.745215654373169, 'learning_rate': 3.4339622641509435e-05, 'epoch': 17.17}
{'loss': -2.3041, 'grad_norm': 5.335958480834961, 'learning_rate': 3.471698113207547e-05, 'epoch': 17.36}
{'loss': -2.3087, 'grad_norm': 4.987016201019287, 'learning_rate': 3.5094339622641506e-05, 'epoch': 17.55}
{'loss': -2.333, 'grad_norm': 3.3657939434051514, 'learning_rate': 3.547169811320755e-05, 'epoch': 17.74}
{'loss': -2.335, 'grad_norm': 6.703282356262207, 'learning_rate': 3.5849056603773584e-05, 'epoch': 17.92}
{'loss': -2.347, 'grad_norm': 7.895218372344971, 'learning_rate': 3.622641509433962e-05, 'epoch': 18.11}
{'loss': -2.3585, 'grad_norm': 4.66505241394043, 'learning_rate': 3.660377358490566e-05, 'epoch': 18.3}
{'loss': -2.3519, 'grad_norm': 3.6380367279052734, 'learning_rate': 3.69811320754717e-05, 'epoch': 18.49}
{'loss': -2.3775, 'grad_norm': 6.25571870803833, 'learning_rate': 3.735849056603773e-05, 'epoch': 18.68}
{'loss': -2.3867, 'grad_norm': 3.5268471240997314, 'learning_rate': 3.7735849056603776e-05, 'epoch': 18.87}
{'loss': -2.3951, 'grad_norm': 5.262844562530518, 'learning_rate': 3.811320754716982e-05, 'epoch': 19.06}
{'loss': -2.407, 'grad_norm': 5.564419269561768, 'learning_rate': 3.8490566037735854e-05, 'epoch': 19.25}
{'loss': -2.4051, 'grad_norm': 4.777007102966309, 'learning_rate': 3.886792452830189e-05, 'epoch': 19.43}
{'loss': -2.4218, 'grad_norm': 5.805479526519775, 'learning_rate': 3.924528301886793e-05, 'epoch': 19.62}
{'loss': -2.4314, 'grad_norm': 12.273355484008789, 'learning_rate': 3.962264150943397e-05, 'epoch': 19.81}
{'loss': -2.4345, 'grad_norm': 5.292532444000244, 'learning_rate': 4e-05, 'epoch': 20.0}
{'loss': -2.4531, 'grad_norm': 6.802691459655762, 'learning_rate': 4.037735849056604e-05, 'epoch': 20.19}
{'loss': -2.4497, 'grad_norm': 8.539776802062988, 'learning_rate': 4.075471698113208e-05, 'epoch': 20.38}
{'loss': -2.4581, 'grad_norm': 5.220290660858154, 'learning_rate': 4.113207547169812e-05, 'epoch': 20.57}
{'loss': -2.4758, 'grad_norm': 8.206001281738281, 'learning_rate': 4.150943396226415e-05, 'epoch': 20.75}
{'loss': -2.477, 'grad_norm': 5.482176780700684, 'learning_rate': 4.1886792452830195e-05, 'epoch': 20.94}
{'loss': -2.4851, 'grad_norm': 6.415728569030762, 'learning_rate': 4.226415094339623e-05, 'epoch': 21.13}
{'loss': -2.4951, 'grad_norm': 9.399009704589844, 'learning_rate': 4.2641509433962266e-05, 'epoch': 21.32}
{'loss': -2.4925, 'grad_norm': 10.179418563842773, 'learning_rate': 4.301886792452831e-05, 'epoch': 21.51}
{'loss': -2.5127, 'grad_norm': 5.026400566101074, 'learning_rate': 4.3396226415094345e-05, 'epoch': 21.7}
{'loss': -2.5169, 'grad_norm': 6.238913536071777, 'learning_rate': 4.377358490566038e-05, 'epoch': 21.89}
{'loss': -2.5247, 'grad_norm': 8.820564270019531, 'learning_rate': 4.4150943396226416e-05, 'epoch': 22.08}
{'loss': -2.5399, 'grad_norm': 7.068943500518799, 'learning_rate': 4.452830188679246e-05, 'epoch': 22.26}
{'loss': -2.5319, 'grad_norm': 10.399442672729492, 'learning_rate': 4.4905660377358494e-05, 'epoch': 22.45}
{'loss': -2.5524, 'grad_norm': 7.768826007843018, 'learning_rate': 4.528301886792453e-05, 'epoch': 22.64}
{'loss': -2.5603, 'grad_norm': 7.994513988494873, 'learning_rate': 4.566037735849057e-05, 'epoch': 22.83}
{'loss': -2.5648, 'grad_norm': 9.35623550415039, 'learning_rate': 4.603773584905661e-05, 'epoch': 23.02}
{'loss': -2.5748, 'grad_norm': 12.632251739501953, 'learning_rate': 4.641509433962264e-05, 'epoch': 23.21}
{'loss': -2.5734, 'grad_norm': 9.913697242736816, 'learning_rate': 4.679245283018868e-05, 'epoch': 23.4}
{'loss': -2.5821, 'grad_norm': 4.201263904571533, 'learning_rate': 4.716981132075472e-05, 'epoch': 23.58}
{'loss': -2.5962, 'grad_norm': 4.742290496826172, 'learning_rate': 4.754716981132076e-05, 'epoch': 23.77}
{'loss': -2.5954, 'grad_norm': 13.24299430847168, 'learning_rate': 4.792452830188679e-05, 'epoch': 23.96}
{'loss': -2.6121, 'grad_norm': 12.599233627319336, 'learning_rate': 4.8301886792452835e-05, 'epoch': 24.15}
{'loss': -2.6105, 'grad_norm': 5.510540008544922, 'learning_rate': 4.867924528301887e-05, 'epoch': 24.34}
{'loss': -2.6145, 'grad_norm': 8.496833801269531, 'learning_rate': 4.9056603773584906e-05, 'epoch': 24.53}
{'loss': -2.6313, 'grad_norm': 8.734599113464355, 'learning_rate': 4.943396226415095e-05, 'epoch': 24.72}
{'loss': -2.6333, 'grad_norm': 9.499443054199219, 'learning_rate': 4.9811320754716985e-05, 'epoch': 24.91}
{'loss': -2.6431, 'grad_norm': 6.781594753265381, 'learning_rate': 5.018867924528302e-05, 'epoch': 25.09}
{'loss': -2.6491, 'grad_norm': 14.553987503051758, 'learning_rate': 5.0566037735849056e-05, 'epoch': 25.28}
{'loss': -2.6416, 'grad_norm': 8.142085075378418, 'learning_rate': 5.09433962264151e-05, 'epoch': 25.47}
{'loss': -2.6595, 'grad_norm': 10.462618827819824, 'learning_rate': 5.1320754716981134e-05, 'epoch': 25.66}
{'loss': -2.6687, 'grad_norm': 6.798311710357666, 'learning_rate': 5.169811320754717e-05, 'epoch': 25.85}
{'loss': -2.6676, 'grad_norm': 6.186098098754883, 'learning_rate': 5.207547169811321e-05, 'epoch': 26.04}
{'loss': -2.6826, 'grad_norm': 11.466567993164062, 'learning_rate': 5.245283018867925e-05, 'epoch': 26.23}
{'loss': -2.6827, 'grad_norm': 9.839187622070312, 'learning_rate': 5.283018867924528e-05, 'epoch': 26.42}
{'loss': -2.6906, 'grad_norm': 8.614947319030762, 'learning_rate': 5.3207547169811326e-05, 'epoch': 26.6}
