Starting time: Mon Jul 29 13:31:19 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 25, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14ebf67a8d30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_063857_obj_25
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_063857_obj_25 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.5881, 'grad_norm': 3.785417079925537, 'learning_rate': 3.686635944700461e-07, 'epoch': 0.18}
{'loss': 1.5805, 'grad_norm': 3.7762482166290283, 'learning_rate': 7.373271889400922e-07, 'epoch': 0.37}
{'loss': 1.5677, 'grad_norm': 3.818716526031494, 'learning_rate': 1.1059907834101382e-06, 'epoch': 0.55}
{'loss': 1.5566, 'grad_norm': 3.7400269508361816, 'learning_rate': 1.4746543778801844e-06, 'epoch': 0.74}
{'loss': 1.5346, 'grad_norm': 3.7320315837860107, 'learning_rate': 1.8433179723502305e-06, 'epoch': 0.92}
{'loss': 1.5074, 'grad_norm': 3.6880178451538086, 'learning_rate': 2.2119815668202764e-06, 'epoch': 1.11}
{'loss': 1.4732, 'grad_norm': 3.645439624786377, 'learning_rate': 2.580645161290323e-06, 'epoch': 1.29}
{'loss': 1.436, 'grad_norm': 3.633647918701172, 'learning_rate': 2.9493087557603687e-06, 'epoch': 1.47}
{'loss': 1.3901, 'grad_norm': 3.524876832962036, 'learning_rate': 3.317972350230415e-06, 'epoch': 1.66}
{'loss': 1.3471, 'grad_norm': 3.446382522583008, 'learning_rate': 3.686635944700461e-06, 'epoch': 1.84}
{'loss': 1.2874, 'grad_norm': 3.366374969482422, 'learning_rate': 4.055299539170508e-06, 'epoch': 2.03}
{'loss': 1.224, 'grad_norm': 3.2453062534332275, 'learning_rate': 4.423963133640553e-06, 'epoch': 2.21}
{'loss': 1.1514, 'grad_norm': 3.122372627258301, 'learning_rate': 4.7926267281106e-06, 'epoch': 2.4}
{'loss': 1.063, 'grad_norm': 3.0065178871154785, 'learning_rate': 5.161290322580646e-06, 'epoch': 2.58}
{'loss': 0.9898, 'grad_norm': 2.7782819271087646, 'learning_rate': 5.5299539170506915e-06, 'epoch': 2.76}
{'loss': 0.8912, 'grad_norm': 2.573624849319458, 'learning_rate': 5.8986175115207375e-06, 'epoch': 2.95}
{'loss': 0.7923, 'grad_norm': 2.274677276611328, 'learning_rate': 6.267281105990784e-06, 'epoch': 3.13}
{'loss': 0.6924, 'grad_norm': 1.9997003078460693, 'learning_rate': 6.63594470046083e-06, 'epoch': 3.32}
{'loss': 0.5963, 'grad_norm': 1.7655808925628662, 'learning_rate': 7.004608294930875e-06, 'epoch': 3.5}
{'loss': 0.5135, 'grad_norm': 1.5227717161178589, 'learning_rate': 7.373271889400922e-06, 'epoch': 3.69}
{'loss': 0.4467, 'grad_norm': 1.3594105243682861, 'learning_rate': 7.741935483870968e-06, 'epoch': 3.87}
{'loss': 0.3641, 'grad_norm': 1.2426764965057373, 'learning_rate': 8.110599078341016e-06, 'epoch': 4.06}
{'loss': 0.2949, 'grad_norm': 1.1824548244476318, 'learning_rate': 8.47926267281106e-06, 'epoch': 4.24}
{'loss': 0.2183, 'grad_norm': 1.1731029748916626, 'learning_rate': 8.847926267281106e-06, 'epoch': 4.42}
{'loss': 0.1251, 'grad_norm': 1.201676368713379, 'learning_rate': 9.216589861751153e-06, 'epoch': 4.61}
{'loss': 0.0639, 'grad_norm': 1.2494850158691406, 'learning_rate': 9.5852534562212e-06, 'epoch': 4.79}
{'loss': -0.037, 'grad_norm': 1.282306432723999, 'learning_rate': 9.953917050691244e-06, 'epoch': 4.98}
{'loss': -0.1175, 'grad_norm': 1.132258653640747, 'learning_rate': 1.0322580645161291e-05, 'epoch': 5.16}
{'loss': -0.1931, 'grad_norm': 1.0428731441497803, 'learning_rate': 1.0691244239631337e-05, 'epoch': 5.35}
{'loss': -0.2779, 'grad_norm': 0.9814465045928955, 'learning_rate': 1.1059907834101383e-05, 'epoch': 5.53}
{'loss': -0.3407, 'grad_norm': 0.9137390851974487, 'learning_rate': 1.1428571428571429e-05, 'epoch': 5.71}
{'loss': -0.4236, 'grad_norm': 0.9361642003059387, 'learning_rate': 1.1797235023041475e-05, 'epoch': 5.9}
{'loss': -0.5242, 'grad_norm': 0.9220077395439148, 'learning_rate': 1.2165898617511521e-05, 'epoch': 6.08}
{'loss': -0.6109, 'grad_norm': 0.8546947836875916, 'learning_rate': 1.2534562211981569e-05, 'epoch': 6.27}
{'loss': -0.6967, 'grad_norm': 0.9956191182136536, 'learning_rate': 1.2903225806451613e-05, 'epoch': 6.45}
{'loss': -0.7873, 'grad_norm': 0.8419767022132874, 'learning_rate': 1.327188940092166e-05, 'epoch': 6.64}
{'loss': -0.8401, 'grad_norm': 0.7998927235603333, 'learning_rate': 1.3640552995391706e-05, 'epoch': 6.82}
{'loss': -0.9289, 'grad_norm': 1.1420811414718628, 'learning_rate': 1.400921658986175e-05, 'epoch': 7.0}
{'loss': -0.9954, 'grad_norm': 0.8753324151039124, 'learning_rate': 1.4377880184331798e-05, 'epoch': 7.19}
{'loss': -1.0632, 'grad_norm': 0.8911452293395996, 'learning_rate': 1.4746543778801844e-05, 'epoch': 7.37}
{'loss': -1.1422, 'grad_norm': 1.0230612754821777, 'learning_rate': 1.5115207373271888e-05, 'epoch': 7.56}
{'loss': -1.184, 'grad_norm': 1.537940263748169, 'learning_rate': 1.5483870967741936e-05, 'epoch': 7.74}
{'loss': -1.2516, 'grad_norm': 1.1844394207000732, 'learning_rate': 1.5852534562211984e-05, 'epoch': 7.93}
{'loss': -1.3247, 'grad_norm': 1.7067941427230835, 'learning_rate': 1.622119815668203e-05, 'epoch': 8.11}
{'loss': -1.3796, 'grad_norm': 1.1591434478759766, 'learning_rate': 1.6589861751152075e-05, 'epoch': 8.29}
{'loss': -1.4385, 'grad_norm': 1.7150994539260864, 'learning_rate': 1.695852534562212e-05, 'epoch': 8.48}
{'loss': -1.4802, 'grad_norm': 1.637428641319275, 'learning_rate': 1.7327188940092167e-05, 'epoch': 8.66}
