Starting time: Sun Jul 28 03:45:06 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 3, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14df0f8a8d30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240608_063159_obj_3
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240608_063159_obj_3 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6329, 'grad_norm': 3.6013576984405518, 'learning_rate': 3.773584905660378e-07, 'epoch': 0.19}
{'loss': 1.6233, 'grad_norm': 3.57989239692688, 'learning_rate': 7.547169811320755e-07, 'epoch': 0.38}
{'loss': 1.6179, 'grad_norm': 3.5414624214172363, 'learning_rate': 1.1320754716981131e-06, 'epoch': 0.57}
{'loss': 1.5981, 'grad_norm': 3.5526719093322754, 'learning_rate': 1.509433962264151e-06, 'epoch': 0.75}
{'loss': 1.5771, 'grad_norm': 3.4850997924804688, 'learning_rate': 1.8867924528301887e-06, 'epoch': 0.94}
{'loss': 1.5581, 'grad_norm': 3.454759359359741, 'learning_rate': 2.2641509433962262e-06, 'epoch': 1.13}
{'loss': 1.5215, 'grad_norm': 3.425018548965454, 'learning_rate': 2.6415094339622644e-06, 'epoch': 1.32}
{'loss': 1.4888, 'grad_norm': 3.347564697265625, 'learning_rate': 3.018867924528302e-06, 'epoch': 1.51}
{'loss': 1.4485, 'grad_norm': 3.3170976638793945, 'learning_rate': 3.3962264150943395e-06, 'epoch': 1.7}
{'loss': 1.3954, 'grad_norm': 3.2362091541290283, 'learning_rate': 3.7735849056603773e-06, 'epoch': 1.89}
{'loss': 1.3509, 'grad_norm': 3.129667282104492, 'learning_rate': 4.150943396226415e-06, 'epoch': 2.08}
{'loss': 1.285, 'grad_norm': 3.036303997039795, 'learning_rate': 4.5283018867924524e-06, 'epoch': 2.26}
{'loss': 1.2131, 'grad_norm': 2.918302536010742, 'learning_rate': 4.9056603773584915e-06, 'epoch': 2.45}
{'loss': 1.1444, 'grad_norm': 2.786032199859619, 'learning_rate': 5.283018867924529e-06, 'epoch': 2.64}
{'loss': 1.0478, 'grad_norm': 2.603139877319336, 'learning_rate': 5.660377358490566e-06, 'epoch': 2.83}
{'loss': 0.9633, 'grad_norm': 2.370171546936035, 'learning_rate': 6.037735849056604e-06, 'epoch': 3.02}
{'loss': 0.8681, 'grad_norm': 2.133446216583252, 'learning_rate': 6.415094339622642e-06, 'epoch': 3.21}
{'loss': 0.7629, 'grad_norm': 1.8944294452667236, 'learning_rate': 6.792452830188679e-06, 'epoch': 3.4}
{'loss': 0.6805, 'grad_norm': 1.656710147857666, 'learning_rate': 7.169811320754717e-06, 'epoch': 3.58}
{'loss': 0.5868, 'grad_norm': 1.4689701795578003, 'learning_rate': 7.547169811320755e-06, 'epoch': 3.77}
{'loss': 0.511, 'grad_norm': 1.318313479423523, 'learning_rate': 7.924528301886793e-06, 'epoch': 3.96}
{'loss': 0.4445, 'grad_norm': 1.2342190742492676, 'learning_rate': 8.30188679245283e-06, 'epoch': 4.15}
{'loss': 0.3527, 'grad_norm': 1.1817140579223633, 'learning_rate': 8.679245283018868e-06, 'epoch': 4.34}
{'loss': 0.275, 'grad_norm': 1.222048282623291, 'learning_rate': 9.056603773584905e-06, 'epoch': 4.53}
{'loss': 0.1863, 'grad_norm': 1.254685401916504, 'learning_rate': 9.433962264150944e-06, 'epoch': 4.72}
{'loss': 0.0903, 'grad_norm': 1.2739551067352295, 'learning_rate': 9.811320754716983e-06, 'epoch': 4.91}
{'loss': 0.0195, 'grad_norm': 1.2076852321624756, 'learning_rate': 1.018867924528302e-05, 'epoch': 5.09}
{'loss': -0.0708, 'grad_norm': 1.0744479894638062, 'learning_rate': 1.0566037735849058e-05, 'epoch': 5.28}
{'loss': -0.1517, 'grad_norm': 1.0350013971328735, 'learning_rate': 1.0943396226415095e-05, 'epoch': 5.47}
{'loss': -0.2278, 'grad_norm': 0.9591261148452759, 'learning_rate': 1.1320754716981132e-05, 'epoch': 5.66}
{'loss': -0.3172, 'grad_norm': 0.9491280913352966, 'learning_rate': 1.169811320754717e-05, 'epoch': 5.85}
{'loss': -0.3949, 'grad_norm': 0.8761206865310669, 'learning_rate': 1.2075471698113209e-05, 'epoch': 6.04}
{'loss': -0.4821, 'grad_norm': 0.8447964787483215, 'learning_rate': 1.2452830188679246e-05, 'epoch': 6.23}
{'loss': -0.5766, 'grad_norm': 0.8559776544570923, 'learning_rate': 1.2830188679245283e-05, 'epoch': 6.42}
{'loss': -0.654, 'grad_norm': 0.8108424544334412, 'learning_rate': 1.320754716981132e-05, 'epoch': 6.6}
{'loss': -0.7333, 'grad_norm': 0.7344046831130981, 'learning_rate': 1.3584905660377358e-05, 'epoch': 6.79}
{'loss': -0.8065, 'grad_norm': 1.1304177045822144, 'learning_rate': 1.3962264150943397e-05, 'epoch': 6.98}
{'loss': -0.8635, 'grad_norm': 1.150977611541748, 'learning_rate': 1.4339622641509435e-05, 'epoch': 7.17}
{'loss': -0.9494, 'grad_norm': 1.0730071067810059, 'learning_rate': 1.4716981132075472e-05, 'epoch': 7.36}
{'loss': -1.0174, 'grad_norm': 1.1301803588867188, 'learning_rate': 1.509433962264151e-05, 'epoch': 7.55}
{'loss': -1.086, 'grad_norm': 0.9666343927383423, 'learning_rate': 1.5471698113207547e-05, 'epoch': 7.74}
