Starting time: Mon Jul 29 13:38:38 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 30, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14e5b3a68d30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_134437_obj_30
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_134437_obj_30 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.582, 'grad_norm': 3.7628676891326904, 'learning_rate': 3.72093023255814e-07, 'epoch': 0.19}
{'loss': 1.5831, 'grad_norm': 3.7622625827789307, 'learning_rate': 7.44186046511628e-07, 'epoch': 0.37}
{'loss': 1.5732, 'grad_norm': 3.7281911373138428, 'learning_rate': 1.116279069767442e-06, 'epoch': 0.56}
{'loss': 1.5505, 'grad_norm': 3.7479846477508545, 'learning_rate': 1.488372093023256e-06, 'epoch': 0.74}
{'loss': 1.5338, 'grad_norm': 3.6765079498291016, 'learning_rate': 1.86046511627907e-06, 'epoch': 0.93}
{'loss': 1.5049, 'grad_norm': 3.6812973022460938, 'learning_rate': 2.232558139534884e-06, 'epoch': 1.12}
{'loss': 1.4764, 'grad_norm': 3.6391854286193848, 'learning_rate': 2.604651162790698e-06, 'epoch': 1.3}
{'loss': 1.4377, 'grad_norm': 3.573045015335083, 'learning_rate': 2.976744186046512e-06, 'epoch': 1.49}
{'loss': 1.3944, 'grad_norm': 3.5535078048706055, 'learning_rate': 3.348837209302326e-06, 'epoch': 1.67}
{'loss': 1.3405, 'grad_norm': 3.4563372135162354, 'learning_rate': 3.72093023255814e-06, 'epoch': 1.86}
{'loss': 1.2895, 'grad_norm': 3.3774726390838623, 'learning_rate': 4.0930232558139536e-06, 'epoch': 2.05}
{'loss': 1.2199, 'grad_norm': 3.2702815532684326, 'learning_rate': 4.465116279069768e-06, 'epoch': 2.23}
{'loss': 1.1486, 'grad_norm': 3.1588945388793945, 'learning_rate': 4.837209302325582e-06, 'epoch': 2.42}
{'loss': 1.0723, 'grad_norm': 3.009876251220703, 'learning_rate': 5.209302325581396e-06, 'epoch': 2.6}
{'loss': 0.9706, 'grad_norm': 2.7942147254943848, 'learning_rate': 5.581395348837209e-06, 'epoch': 2.79}
{'loss': 0.8841, 'grad_norm': 2.5167579650878906, 'learning_rate': 5.953488372093024e-06, 'epoch': 2.98}
