Starting time: Wed Jul 31 00:54:27 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 37, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_data': 'test', 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x151bfe7a4d30>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240607_181911_obj_37
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_181911_obj_37 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.5818, 'grad_norm': 3.960090398788452, 'learning_rate': 3.555555555555556e-07, 'epoch': 0.18}
{'loss': 1.5698, 'grad_norm': 3.945146322250366, 'learning_rate': 7.111111111111112e-07, 'epoch': 0.36}
{'loss': 1.5564, 'grad_norm': 3.928727388381958, 'learning_rate': 1.0666666666666667e-06, 'epoch': 0.53}
{'loss': 1.5363, 'grad_norm': 3.9161250591278076, 'learning_rate': 1.4222222222222223e-06, 'epoch': 0.71}
{'loss': 1.5254, 'grad_norm': 3.8749208450317383, 'learning_rate': 1.777777777777778e-06, 'epoch': 0.89}
{'loss': 1.5026, 'grad_norm': 3.830387830734253, 'learning_rate': 2.1333333333333334e-06, 'epoch': 1.07}
{'loss': 1.4649, 'grad_norm': 3.825798988342285, 'learning_rate': 2.488888888888889e-06, 'epoch': 1.24}
{'loss': 1.422, 'grad_norm': 3.7653968334198, 'learning_rate': 2.8444444444444446e-06, 'epoch': 1.42}
{'loss': 1.3748, 'grad_norm': 3.699694871902466, 'learning_rate': 3.2000000000000003e-06, 'epoch': 1.6}
{'loss': 1.3262, 'grad_norm': 3.5898594856262207, 'learning_rate': 3.555555555555556e-06, 'epoch': 1.78}
{'loss': 1.2794, 'grad_norm': 3.4961724281311035, 'learning_rate': 3.911111111111111e-06, 'epoch': 1.96}
{'loss': 1.2183, 'grad_norm': 3.3728134632110596, 'learning_rate': 4.266666666666667e-06, 'epoch': 2.13}
{'loss': 1.1348, 'grad_norm': 3.2578036785125732, 'learning_rate': 4.622222222222222e-06, 'epoch': 2.31}
{'loss': 1.0529, 'grad_norm': 3.1059107780456543, 'learning_rate': 4.977777777777778e-06, 'epoch': 2.49}
{'loss': 0.9623, 'grad_norm': 2.901792049407959, 'learning_rate': 5.333333333333334e-06, 'epoch': 2.67}
{'loss': 0.8772, 'grad_norm': 2.6689565181732178, 'learning_rate': 5.688888888888889e-06, 'epoch': 2.84}
