Starting time: Wed Aug  7 18:10:47 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 73, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14a2fe62cdc0>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240610_005713_obj_73
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240610_005713_obj_73 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6089, 'grad_norm': 3.6417369842529297, 'learning_rate': 3.6697247706422023e-07, 'epoch': 0.18}
{'loss': 1.6115, 'grad_norm': 3.6147243976593018, 'learning_rate': 7.339449541284405e-07, 'epoch': 0.37}
{'loss': 1.5984, 'grad_norm': 3.6236932277679443, 'learning_rate': 1.1009174311926608e-06, 'epoch': 0.55}
{'loss': 1.5741, 'grad_norm': 3.6346209049224854, 'learning_rate': 1.467889908256881e-06, 'epoch': 0.73}
{'loss': 1.5549, 'grad_norm': 3.555011034011841, 'learning_rate': 1.8348623853211011e-06, 'epoch': 0.92}
{'loss': 1.5342, 'grad_norm': 3.5575437545776367, 'learning_rate': 2.2018348623853215e-06, 'epoch': 1.1}
{'loss': 1.5088, 'grad_norm': 3.49635910987854, 'learning_rate': 2.5688073394495415e-06, 'epoch': 1.28}
{'loss': 1.4746, 'grad_norm': 3.4552676677703857, 'learning_rate': 2.935779816513762e-06, 'epoch': 1.47}
{'loss': 1.4262, 'grad_norm': 3.4267096519470215, 'learning_rate': 3.302752293577982e-06, 'epoch': 1.65}
{'loss': 1.3723, 'grad_norm': 3.3608322143554688, 'learning_rate': 3.6697247706422022e-06, 'epoch': 1.83}
{'loss': 1.3282, 'grad_norm': 3.253110647201538, 'learning_rate': 4.036697247706423e-06, 'epoch': 2.02}
{'loss': 1.2662, 'grad_norm': 3.1468331813812256, 'learning_rate': 4.403669724770643e-06, 'epoch': 2.2}
{'loss': 1.2065, 'grad_norm': 3.018284320831299, 'learning_rate': 4.7706422018348626e-06, 'epoch': 2.39}
{'loss': 1.1246, 'grad_norm': 2.9092724323272705, 'learning_rate': 5.137614678899083e-06, 'epoch': 2.57}
{'loss': 1.0265, 'grad_norm': 2.7251410484313965, 'learning_rate': 5.504587155963303e-06, 'epoch': 2.75}
{'loss': 0.9388, 'grad_norm': 2.4520440101623535, 'learning_rate': 5.871559633027524e-06, 'epoch': 2.94}
{'loss': 0.8473, 'grad_norm': 2.2142276763916016, 'learning_rate': 6.238532110091744e-06, 'epoch': 3.12}
{'loss': 0.7591, 'grad_norm': 1.939794898033142, 'learning_rate': 6.605504587155964e-06, 'epoch': 3.3}
{'loss': 0.6694, 'grad_norm': 1.6883896589279175, 'learning_rate': 6.972477064220184e-06, 'epoch': 3.49}
{'loss': 0.5725, 'grad_norm': 1.5058612823486328, 'learning_rate': 7.3394495412844045e-06, 'epoch': 3.67}
{'loss': 0.4911, 'grad_norm': 1.3340917825698853, 'learning_rate': 7.706422018348624e-06, 'epoch': 3.85}
{'loss': 0.4347, 'grad_norm': 1.2248945236206055, 'learning_rate': 8.073394495412845e-06, 'epoch': 4.04}
{'loss': 0.3596, 'grad_norm': 1.1812241077423096, 'learning_rate': 8.440366972477065e-06, 'epoch': 4.22}
{'loss': 0.2913, 'grad_norm': 1.1666969060897827, 'learning_rate': 8.807339449541286e-06, 'epoch': 4.4}
{'loss': 0.2052, 'grad_norm': 1.201600193977356, 'learning_rate': 9.174311926605506e-06, 'epoch': 4.59}
{'loss': 0.1033, 'grad_norm': 1.2766151428222656, 'learning_rate': 9.541284403669725e-06, 'epoch': 4.77}
{'loss': 0.0254, 'grad_norm': 1.2591801881790161, 'learning_rate': 9.908256880733946e-06, 'epoch': 4.95}
{'loss': -0.0501, 'grad_norm': 1.1603492498397827, 'learning_rate': 1.0275229357798166e-05, 'epoch': 5.14}
{'loss': -0.1243, 'grad_norm': 1.0839965343475342, 'learning_rate': 1.0642201834862387e-05, 'epoch': 5.32}
{'loss': -0.1989, 'grad_norm': 1.011144757270813, 'learning_rate': 1.1009174311926607e-05, 'epoch': 5.5}
{'loss': -0.287, 'grad_norm': 0.9503559470176697, 'learning_rate': 1.1376146788990826e-05, 'epoch': 5.69}
{'loss': -0.3807, 'grad_norm': 0.9113674759864807, 'learning_rate': 1.1743119266055047e-05, 'epoch': 5.87}
{'loss': -0.4582, 'grad_norm': 0.9157782196998596, 'learning_rate': 1.2110091743119267e-05, 'epoch': 6.06}
{'loss': -0.5458, 'grad_norm': 0.9480224251747131, 'learning_rate': 1.2477064220183488e-05, 'epoch': 6.24}
{'loss': -0.6233, 'grad_norm': 0.7844930291175842, 'learning_rate': 1.2844036697247708e-05, 'epoch': 6.42}
{'loss': -0.7066, 'grad_norm': 0.9064404368400574, 'learning_rate': 1.3211009174311927e-05, 'epoch': 6.61}
{'loss': -0.7848, 'grad_norm': 0.8509698510169983, 'learning_rate': 1.3577981651376149e-05, 'epoch': 6.79}
{'loss': -0.8583, 'grad_norm': 0.9210506677627563, 'learning_rate': 1.3944954128440368e-05, 'epoch': 6.97}
{'loss': -0.924, 'grad_norm': 1.0736232995986938, 'learning_rate': 1.431192660550459e-05, 'epoch': 7.16}
{'loss': -0.9961, 'grad_norm': 1.0367555618286133, 'learning_rate': 1.4678899082568809e-05, 'epoch': 7.34}
{'loss': -1.0625, 'grad_norm': 0.9115680456161499, 'learning_rate': 1.5045871559633028e-05, 'epoch': 7.52}
{'loss': -1.138, 'grad_norm': 1.12879478931427, 'learning_rate': 1.5412844036697248e-05, 'epoch': 7.71}
{'loss': -1.2105, 'grad_norm': 1.6859019994735718, 'learning_rate': 1.577981651376147e-05, 'epoch': 7.89}
{'loss': -1.2627, 'grad_norm': 1.2427273988723755, 'learning_rate': 1.614678899082569e-05, 'epoch': 8.07}
{'loss': -1.3163, 'grad_norm': 1.6963523626327515, 'learning_rate': 1.651376146788991e-05, 'epoch': 8.26}
{'loss': -1.3533, 'grad_norm': 1.1791269779205322, 'learning_rate': 1.688073394495413e-05, 'epoch': 8.44}
{'loss': -1.4111, 'grad_norm': 1.6930172443389893, 'learning_rate': 1.724770642201835e-05, 'epoch': 8.62}
{'loss': -1.4573, 'grad_norm': 1.693235158920288, 'learning_rate': 1.7614678899082572e-05, 'epoch': 8.81}
{'loss': -1.498, 'grad_norm': 1.7883862257003784, 'learning_rate': 1.798165137614679e-05, 'epoch': 8.99}
{'loss': -1.5289, 'grad_norm': 1.4496246576309204, 'learning_rate': 1.834862385321101e-05, 'epoch': 9.17}
{'loss': -1.5638, 'grad_norm': 1.8057841062545776, 'learning_rate': 1.8715596330275232e-05, 'epoch': 9.36}
{'loss': -1.5978, 'grad_norm': 1.9415487051010132, 'learning_rate': 1.908256880733945e-05, 'epoch': 9.54}
{'loss': -1.6373, 'grad_norm': 1.4633419513702393, 'learning_rate': 1.944954128440367e-05, 'epoch': 9.72}
{'loss': -1.6715, 'grad_norm': 2.3320207595825195, 'learning_rate': 1.9816513761467893e-05, 'epoch': 9.91}
{'loss': -1.6969, 'grad_norm': 2.845808744430542, 'learning_rate': 2.018348623853211e-05, 'epoch': 10.09}
{'loss': -1.7207, 'grad_norm': 1.8093452453613281, 'learning_rate': 2.0550458715596332e-05, 'epoch': 10.28}
{'loss': -1.7369, 'grad_norm': 1.5590178966522217, 'learning_rate': 2.0917431192660553e-05, 'epoch': 10.46}
