Starting time: Wed Aug  7 18:10:51 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 74, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x1512fa898dc0>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240610_005713_obj_74
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240610_005713_obj_74 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6243, 'grad_norm': 3.6608643531799316, 'learning_rate': 3.6697247706422023e-07, 'epoch': 0.18}
{'loss': 1.6098, 'grad_norm': 3.6583197116851807, 'learning_rate': 7.339449541284405e-07, 'epoch': 0.37}
{'loss': 1.5921, 'grad_norm': 3.6536574363708496, 'learning_rate': 1.1009174311926608e-06, 'epoch': 0.55}
{'loss': 1.5831, 'grad_norm': 3.6358225345611572, 'learning_rate': 1.467889908256881e-06, 'epoch': 0.73}
{'loss': 1.5696, 'grad_norm': 3.5798094272613525, 'learning_rate': 1.8348623853211011e-06, 'epoch': 0.92}
{'loss': 1.5488, 'grad_norm': 3.525512933731079, 'learning_rate': 2.2018348623853215e-06, 'epoch': 1.1}
{'loss': 1.516, 'grad_norm': 3.5306005477905273, 'learning_rate': 2.5688073394495415e-06, 'epoch': 1.28}
{'loss': 1.4648, 'grad_norm': 3.5011813640594482, 'learning_rate': 2.935779816513762e-06, 'epoch': 1.47}
{'loss': 1.4271, 'grad_norm': 3.4486441612243652, 'learning_rate': 3.302752293577982e-06, 'epoch': 1.65}
{'loss': 1.3877, 'grad_norm': 3.3515474796295166, 'learning_rate': 3.6697247706422022e-06, 'epoch': 1.83}
{'loss': 1.3404, 'grad_norm': 3.226336717605591, 'learning_rate': 4.036697247706423e-06, 'epoch': 2.02}
{'loss': 1.2824, 'grad_norm': 3.1794803142547607, 'learning_rate': 4.403669724770643e-06, 'epoch': 2.2}
{'loss': 1.199, 'grad_norm': 3.071962594985962, 'learning_rate': 4.7706422018348626e-06, 'epoch': 2.39}
{'loss': 1.114, 'grad_norm': 2.9415721893310547, 'learning_rate': 5.137614678899083e-06, 'epoch': 2.57}
{'loss': 1.037, 'grad_norm': 2.7287399768829346, 'learning_rate': 5.504587155963303e-06, 'epoch': 2.75}
{'loss': 0.9531, 'grad_norm': 2.476670980453491, 'learning_rate': 5.871559633027524e-06, 'epoch': 2.94}
{'loss': 0.8653, 'grad_norm': 2.205801486968994, 'learning_rate': 6.238532110091744e-06, 'epoch': 3.12}
{'loss': 0.758, 'grad_norm': 1.9699307680130005, 'learning_rate': 6.605504587155964e-06, 'epoch': 3.3}
{'loss': 0.6456, 'grad_norm': 1.7224371433258057, 'learning_rate': 6.972477064220184e-06, 'epoch': 3.49}
{'loss': 0.567, 'grad_norm': 1.5008827447891235, 'learning_rate': 7.3394495412844045e-06, 'epoch': 3.67}
{'loss': 0.5009, 'grad_norm': 1.3490122556686401, 'learning_rate': 7.706422018348624e-06, 'epoch': 3.85}
{'loss': 0.4398, 'grad_norm': 1.2367568016052246, 'learning_rate': 8.073394495412845e-06, 'epoch': 4.04}
{'loss': 0.3663, 'grad_norm': 1.1824243068695068, 'learning_rate': 8.440366972477065e-06, 'epoch': 4.22}
{'loss': 0.2691, 'grad_norm': 1.17963445186615, 'learning_rate': 8.807339449541286e-06, 'epoch': 4.4}
{'loss': 0.1828, 'grad_norm': 1.2202354669570923, 'learning_rate': 9.174311926605506e-06, 'epoch': 4.59}
{'loss': 0.1076, 'grad_norm': 1.3012752532958984, 'learning_rate': 9.541284403669725e-06, 'epoch': 4.77}
{'loss': 0.0352, 'grad_norm': 1.2366969585418701, 'learning_rate': 9.908256880733946e-06, 'epoch': 4.95}
{'loss': -0.0354, 'grad_norm': 1.0870568752288818, 'learning_rate': 1.0275229357798166e-05, 'epoch': 5.14}
{'loss': -0.1285, 'grad_norm': 0.9627113342285156, 'learning_rate': 1.0642201834862387e-05, 'epoch': 5.32}
{'loss': -0.2119, 'grad_norm': 0.9863070249557495, 'learning_rate': 1.1009174311926607e-05, 'epoch': 5.5}
{'loss': -0.29, 'grad_norm': 0.9401024580001831, 'learning_rate': 1.1376146788990826e-05, 'epoch': 5.69}
{'loss': -0.3706, 'grad_norm': 0.9344915151596069, 'learning_rate': 1.1743119266055047e-05, 'epoch': 5.87}
{'loss': -0.4469, 'grad_norm': 0.8585749864578247, 'learning_rate': 1.2110091743119267e-05, 'epoch': 6.06}
{'loss': -0.5367, 'grad_norm': 0.8542819023132324, 'learning_rate': 1.2477064220183488e-05, 'epoch': 6.24}
