Starting time: Wed Aug  7 18:11:14 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 78, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x149b94d28dc0>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240610_010216_obj_78
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240610_010216_obj_78 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6197, 'grad_norm': 3.7524173259735107, 'learning_rate': 3.846153846153847e-07, 'epoch': 0.19}
{'loss': 1.6149, 'grad_norm': 3.764145612716675, 'learning_rate': 7.692307692307694e-07, 'epoch': 0.38}
{'loss': 1.6023, 'grad_norm': 3.7318615913391113, 'learning_rate': 1.153846153846154e-06, 'epoch': 0.58}
{'loss': 1.5823, 'grad_norm': 3.7251126766204834, 'learning_rate': 1.5384615384615387e-06, 'epoch': 0.77}
{'loss': 1.5673, 'grad_norm': 3.6976966857910156, 'learning_rate': 1.9230769230769234e-06, 'epoch': 0.96}
{'loss': 1.5348, 'grad_norm': 3.6361277103424072, 'learning_rate': 2.307692307692308e-06, 'epoch': 1.15}
{'loss': 1.5068, 'grad_norm': 3.6213901042938232, 'learning_rate': 2.6923076923076928e-06, 'epoch': 1.35}
{'loss': 1.462, 'grad_norm': 3.5340089797973633, 'learning_rate': 3.0769230769230774e-06, 'epoch': 1.54}
{'loss': 1.4173, 'grad_norm': 3.4869768619537354, 'learning_rate': 3.4615384615384617e-06, 'epoch': 1.73}
{'loss': 1.3714, 'grad_norm': 3.3792171478271484, 'learning_rate': 3.846153846153847e-06, 'epoch': 1.92}
{'loss': 1.3076, 'grad_norm': 3.2844836711883545, 'learning_rate': 4.230769230769231e-06, 'epoch': 2.12}
{'loss': 1.2489, 'grad_norm': 3.160080671310425, 'learning_rate': 4.615384615384616e-06, 'epoch': 2.31}
{'loss': 1.1619, 'grad_norm': 3.0455424785614014, 'learning_rate': 5e-06, 'epoch': 2.5}
{'loss': 1.0845, 'grad_norm': 2.894503355026245, 'learning_rate': 5.3846153846153855e-06, 'epoch': 2.69}
{'loss': 0.9945, 'grad_norm': 2.7011704444885254, 'learning_rate': 5.76923076923077e-06, 'epoch': 2.88}
{'loss': 0.8945, 'grad_norm': 2.4587109088897705, 'learning_rate': 6.153846153846155e-06, 'epoch': 3.08}
{'loss': 0.8006, 'grad_norm': 2.187490940093994, 'learning_rate': 6.538461538461539e-06, 'epoch': 3.27}
{'loss': 0.6861, 'grad_norm': 1.932816743850708, 'learning_rate': 6.923076923076923e-06, 'epoch': 3.46}
{'loss': 0.6, 'grad_norm': 1.6779589653015137, 'learning_rate': 7.3076923076923085e-06, 'epoch': 3.65}
{'loss': 0.5107, 'grad_norm': 1.4734245538711548, 'learning_rate': 7.692307692307694e-06, 'epoch': 3.85}
{'loss': 0.4342, 'grad_norm': 1.3028745651245117, 'learning_rate': 8.076923076923077e-06, 'epoch': 4.04}
{'loss': 0.3635, 'grad_norm': 1.2230111360549927, 'learning_rate': 8.461538461538462e-06, 'epoch': 4.23}
{'loss': 0.2778, 'grad_norm': 1.1793806552886963, 'learning_rate': 8.846153846153847e-06, 'epoch': 4.42}
{'loss': 0.201, 'grad_norm': 1.173600196838379, 'learning_rate': 9.230769230769232e-06, 'epoch': 4.62}
{'loss': 0.1056, 'grad_norm': 1.2428839206695557, 'learning_rate': 9.615384615384616e-06, 'epoch': 4.81}
{'loss': 0.0203, 'grad_norm': 1.3722786903381348, 'learning_rate': 1e-05, 'epoch': 5.0}
{'loss': -0.0585, 'grad_norm': 1.2171196937561035, 'learning_rate': 1.0384615384615386e-05, 'epoch': 5.19}
{'loss': -0.1369, 'grad_norm': 1.104261040687561, 'learning_rate': 1.0769230769230771e-05, 'epoch': 5.38}
{'loss': -0.2217, 'grad_norm': 1.0350630283355713, 'learning_rate': 1.1153846153846154e-05, 'epoch': 5.58}
{'loss': -0.3112, 'grad_norm': 0.9904186129570007, 'learning_rate': 1.153846153846154e-05, 'epoch': 5.77}
{'loss': -0.4066, 'grad_norm': 1.0239192247390747, 'learning_rate': 1.1923076923076925e-05, 'epoch': 5.96}
{'loss': -0.5031, 'grad_norm': 0.9094251990318298, 'learning_rate': 1.230769230769231e-05, 'epoch': 6.15}
{'loss': -0.5892, 'grad_norm': 0.8125768303871155, 'learning_rate': 1.2692307692307691e-05, 'epoch': 6.35}
{'loss': -0.6888, 'grad_norm': 0.9099792242050171, 'learning_rate': 1.3076923076923078e-05, 'epoch': 6.54}
{'loss': -0.7624, 'grad_norm': 1.0140758752822876, 'learning_rate': 1.3461538461538462e-05, 'epoch': 6.73}
{'loss': -0.8321, 'grad_norm': 0.8157951831817627, 'learning_rate': 1.3846153846153847e-05, 'epoch': 6.92}
{'loss': -0.9005, 'grad_norm': 0.8239985704421997, 'learning_rate': 1.423076923076923e-05, 'epoch': 7.12}
{'loss': -0.9527, 'grad_norm': 0.8786742687225342, 'learning_rate': 1.4615384615384617e-05, 'epoch': 7.31}
