Starting time: Wed Aug  7 18:12:12 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 86, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14cf6d41cdc0>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240610_011134_obj_86
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240610_011134_obj_86 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.621, 'grad_norm': 3.6708643436431885, 'learning_rate': 3.773584905660378e-07, 'epoch': 0.19}
{'loss': 1.614, 'grad_norm': 3.6734275817871094, 'learning_rate': 7.547169811320755e-07, 'epoch': 0.38}
{'loss': 1.5988, 'grad_norm': 3.6291661262512207, 'learning_rate': 1.1320754716981131e-06, 'epoch': 0.57}
{'loss': 1.5807, 'grad_norm': 3.6650679111480713, 'learning_rate': 1.509433962264151e-06, 'epoch': 0.75}
{'loss': 1.5629, 'grad_norm': 3.5628645420074463, 'learning_rate': 1.8867924528301887e-06, 'epoch': 0.94}
{'loss': 1.5443, 'grad_norm': 3.559983730316162, 'learning_rate': 2.2641509433962262e-06, 'epoch': 1.13}
{'loss': 1.5104, 'grad_norm': 3.5403239727020264, 'learning_rate': 2.6415094339622644e-06, 'epoch': 1.32}
{'loss': 1.4678, 'grad_norm': 3.467830181121826, 'learning_rate': 3.018867924528302e-06, 'epoch': 1.51}
{'loss': 1.4229, 'grad_norm': 3.452256441116333, 'learning_rate': 3.3962264150943395e-06, 'epoch': 1.7}
{'loss': 1.3722, 'grad_norm': 3.3723368644714355, 'learning_rate': 3.7735849056603773e-06, 'epoch': 1.89}
{'loss': 1.3308, 'grad_norm': 3.2404916286468506, 'learning_rate': 4.150943396226415e-06, 'epoch': 2.08}
{'loss': 1.2645, 'grad_norm': 3.154933452606201, 'learning_rate': 4.5283018867924524e-06, 'epoch': 2.26}
{'loss': 1.187, 'grad_norm': 3.042902708053589, 'learning_rate': 4.9056603773584915e-06, 'epoch': 2.45}
{'loss': 1.1059, 'grad_norm': 2.8987815380096436, 'learning_rate': 5.283018867924529e-06, 'epoch': 2.64}
{'loss': 1.0119, 'grad_norm': 2.701503276824951, 'learning_rate': 5.660377358490566e-06, 'epoch': 2.83}
{'loss': 0.9313, 'grad_norm': 2.421039342880249, 'learning_rate': 6.037735849056604e-06, 'epoch': 3.02}
