Starting time: Wed Aug  7 18:45:22 CEST 2024
no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 97, 'add_surface_index': False, 'eval_from': None, 'test_seed': 42, 'test_data': 'test', 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x14efe6928dc0>}
========== Training config ==========
Found matching repo for training dataset: allTx_HFds__noise_noise_5__20240610_015152_obj_97
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240610_015152_obj_97 ==========
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.5654, 'grad_norm': 3.8639414310455322, 'learning_rate': 3.5714285714285716e-07, 'epoch': 0.18}
{'loss': 1.5668, 'grad_norm': 3.866481065750122, 'learning_rate': 7.142857142857143e-07, 'epoch': 0.36}
{'loss': 1.5507, 'grad_norm': 3.875863552093506, 'learning_rate': 1.0714285714285716e-06, 'epoch': 0.54}
{'loss': 1.5292, 'grad_norm': 3.856877565383911, 'learning_rate': 1.4285714285714286e-06, 'epoch': 0.71}
{'loss': 1.5151, 'grad_norm': 3.8088808059692383, 'learning_rate': 1.7857142857142857e-06, 'epoch': 0.89}
{'loss': 1.4865, 'grad_norm': 3.8115859031677246, 'learning_rate': 2.142857142857143e-06, 'epoch': 1.07}
{'loss': 1.4577, 'grad_norm': 3.728083610534668, 'learning_rate': 2.5e-06, 'epoch': 1.25}
{'loss': 1.4183, 'grad_norm': 3.687523126602173, 'learning_rate': 2.8571428571428573e-06, 'epoch': 1.43}
{'loss': 1.3699, 'grad_norm': 3.6528074741363525, 'learning_rate': 3.2142857142857143e-06, 'epoch': 1.61}
{'loss': 1.3186, 'grad_norm': 3.5661256313323975, 'learning_rate': 3.5714285714285714e-06, 'epoch': 1.79}
{'loss': 1.2687, 'grad_norm': 3.4593076705932617, 'learning_rate': 3.928571428571429e-06, 'epoch': 1.96}
{'loss': 1.1981, 'grad_norm': 3.3782036304473877, 'learning_rate': 4.285714285714286e-06, 'epoch': 2.14}
{'loss': 1.1397, 'grad_norm': 3.2560031414031982, 'learning_rate': 4.642857142857143e-06, 'epoch': 2.32}
{'loss': 1.0489, 'grad_norm': 3.117408275604248, 'learning_rate': 5e-06, 'epoch': 2.5}
{'loss': 0.9555, 'grad_norm': 2.9229366779327393, 'learning_rate': 5.357142857142857e-06, 'epoch': 2.68}
{'loss': 0.8675, 'grad_norm': 2.674485683441162, 'learning_rate': 5.7142857142857145e-06, 'epoch': 2.86}
{'loss': 0.7715, 'grad_norm': 2.4122371673583984, 'learning_rate': 6.071428571428572e-06, 'epoch': 3.04}
{'loss': 0.6717, 'grad_norm': 2.123487949371338, 'learning_rate': 6.428571428571429e-06, 'epoch': 3.21}
{'loss': 0.5797, 'grad_norm': 1.8626630306243896, 'learning_rate': 6.785714285714285e-06, 'epoch': 3.39}
{'loss': 0.4801, 'grad_norm': 1.628588318824768, 'learning_rate': 7.142857142857143e-06, 'epoch': 3.57}
{'loss': 0.4009, 'grad_norm': 1.4327553510665894, 'learning_rate': 7.5e-06, 'epoch': 3.75}
{'loss': 0.3379, 'grad_norm': 1.2992911338806152, 'learning_rate': 7.857142857142858e-06, 'epoch': 3.93}
{'loss': 0.2627, 'grad_norm': 1.2076194286346436, 'learning_rate': 8.214285714285714e-06, 'epoch': 4.11}
{'loss': 0.2012, 'grad_norm': 1.177562952041626, 'learning_rate': 8.571428571428573e-06, 'epoch': 4.29}
