no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 1, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x1503439d3010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_030200_obj_1
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.604, 'learning_rate': 1.9047619047619051e-06, 'epoch': 0.95}
{'loss': 1.5766, 'learning_rate': 3.8095238095238102e-06, 'epoch': 1.9}
{'loss': 1.5253, 'learning_rate': 5.7142857142857145e-06, 'epoch': 2.86}
{'loss': 1.4488, 'learning_rate': 7.6190476190476205e-06, 'epoch': 3.81}
{'loss': 1.341, 'learning_rate': 9.523809523809523e-06, 'epoch': 4.76}
{'loss': 1.1978, 'learning_rate': 1.1428571428571429e-05, 'epoch': 5.71}
{'loss': 1.0165, 'learning_rate': 1.3333333333333333e-05, 'epoch': 6.67}
{'loss': 0.7992, 'learning_rate': 1.5238095238095241e-05, 'epoch': 7.62}
{'loss': 0.5916, 'learning_rate': 1.7142857142857145e-05, 'epoch': 8.57}
{'loss': 0.4209, 'learning_rate': 1.9047619047619046e-05, 'epoch': 9.52}
{'loss': 0.2549, 'learning_rate': 2.0952380952380954e-05, 'epoch': 10.48}
{'loss': 0.063, 'learning_rate': 2.2857142857142858e-05, 'epoch': 11.43}
{'loss': -0.1205, 'learning_rate': 2.4761904761904762e-05, 'epoch': 12.38}
{'loss': -0.2953, 'learning_rate': 2.6666666666666667e-05, 'epoch': 13.33}
{'loss': -0.4745, 'learning_rate': 2.857142857142857e-05, 'epoch': 14.29}
{'loss': -0.6398, 'learning_rate': 3.0476190476190482e-05, 'epoch': 15.24}
{'loss': -0.7885, 'learning_rate': 3.2380952380952386e-05, 'epoch': 16.19}
{'loss': -0.9135, 'learning_rate': 3.428571428571429e-05, 'epoch': 17.14}
{'loss': -1.0279, 'learning_rate': 3.619047619047619e-05, 'epoch': 18.1}
{'loss': -1.1483, 'learning_rate': 3.809523809523809e-05, 'epoch': 19.05}
{'loss': -1.2641, 'learning_rate': 4e-05, 'epoch': 20.0}
{'loss': -1.3626, 'learning_rate': 4.190476190476191e-05, 'epoch': 20.95}
{'loss': -1.4429, 'learning_rate': 4.380952380952381e-05, 'epoch': 21.9}
{'loss': -1.5233, 'learning_rate': 4.5714285714285716e-05, 'epoch': 22.86}
{'loss': -1.5851, 'learning_rate': 4.761904761904762e-05, 'epoch': 23.81}
{'loss': -1.6485, 'learning_rate': 4.9523809523809525e-05, 'epoch': 24.76}
{'loss': -1.7077, 'learning_rate': 5.142857142857143e-05, 'epoch': 25.71}
{'loss': -1.7578, 'learning_rate': 5.333333333333333e-05, 'epoch': 26.67}
{'loss': -1.7963, 'learning_rate': 5.5238095238095244e-05, 'epoch': 27.62}
{'loss': -1.8317, 'learning_rate': 5.714285714285714e-05, 'epoch': 28.57}
{'loss': -1.8694, 'learning_rate': 5.904761904761905e-05, 'epoch': 29.52}
{'loss': -1.9034, 'learning_rate': 6.0952380952380964e-05, 'epoch': 30.48}
{'loss': -1.9287, 'learning_rate': 6.285714285714286e-05, 'epoch': 31.43}
{'loss': -1.9556, 'learning_rate': 6.476190476190477e-05, 'epoch': 32.38}
{'loss': -1.9809, 'learning_rate': 6.666666666666667e-05, 'epoch': 33.33}
{'loss': -2.0103, 'learning_rate': 6.857142857142858e-05, 'epoch': 34.29}
{'loss': -2.0377, 'learning_rate': 7.047619047619048e-05, 'epoch': 35.24}
