no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': False, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '', 'gen_func': <function gen_data_sample_across_rx at 0x151b1e49b010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6273, 'learning_rate': 1.86046511627907e-06, 'epoch': 0.93}
{'loss': 1.601, 'learning_rate': 3.72093023255814e-06, 'epoch': 1.86}
{'loss': 1.5512, 'learning_rate': 5.581395348837209e-06, 'epoch': 2.79}
{'loss': 1.4761, 'learning_rate': 7.44186046511628e-06, 'epoch': 3.72}
{'loss': 1.3754, 'learning_rate': 9.302325581395349e-06, 'epoch': 4.65}
{'loss': 1.2362, 'learning_rate': 1.1162790697674418e-05, 'epoch': 5.58}
{'loss': 1.0633, 'learning_rate': 1.3023255813953488e-05, 'epoch': 6.51}
{'loss': 0.8543, 'learning_rate': 1.488372093023256e-05, 'epoch': 7.44}
{'loss': 0.651, 'learning_rate': 1.674418604651163e-05, 'epoch': 8.37}
{'loss': 0.4718, 'learning_rate': 1.8604651162790697e-05, 'epoch': 9.3}
{'loss': 0.3088, 'learning_rate': 2.046511627906977e-05, 'epoch': 10.23}
{'loss': 0.1157, 'learning_rate': 2.2325581395348837e-05, 'epoch': 11.16}
{'loss': -0.0773, 'learning_rate': 2.4186046511627908e-05, 'epoch': 12.09}
{'loss': -0.2526, 'learning_rate': 2.6046511627906976e-05, 'epoch': 13.02}
{'loss': -0.4413, 'learning_rate': 2.7906976744186048e-05, 'epoch': 13.95}
{'loss': -0.623, 'learning_rate': 2.976744186046512e-05, 'epoch': 14.88}
{'loss': -0.7647, 'learning_rate': 3.162790697674419e-05, 'epoch': 15.81}
{'loss': -0.8912, 'learning_rate': 3.348837209302326e-05, 'epoch': 16.74}
{'loss': -1.0208, 'learning_rate': 3.5348837209302326e-05, 'epoch': 17.67}
{'loss': -1.1528, 'learning_rate': 3.7209302325581394e-05, 'epoch': 18.6}
{'loss': -1.2667, 'learning_rate': 3.906976744186047e-05, 'epoch': 19.53}
{'loss': -1.3637, 'learning_rate': 4.093023255813954e-05, 'epoch': 20.47}
{'loss': -1.4484, 'learning_rate': 4.2790697674418605e-05, 'epoch': 21.4}
{'loss': -1.5169, 'learning_rate': 4.465116279069767e-05, 'epoch': 22.33}
{'loss': -1.5823, 'learning_rate': 4.651162790697675e-05, 'epoch': 23.26}
{'loss': -1.6273, 'learning_rate': 4.8372093023255816e-05, 'epoch': 24.19}
{'loss': -1.6765, 'learning_rate': 5.023255813953489e-05, 'epoch': 25.12}
{'loss': -1.7247, 'learning_rate': 5.209302325581395e-05, 'epoch': 26.05}
{'loss': -1.7635, 'learning_rate': 5.3953488372093034e-05, 'epoch': 26.98}
{'loss': -1.8031, 'learning_rate': 5.5813953488372095e-05, 'epoch': 27.91}
{'loss': -1.8407, 'learning_rate': 5.767441860465117e-05, 'epoch': 28.84}
{'loss': -1.8794, 'learning_rate': 5.953488372093024e-05, 'epoch': 29.77}
{'loss': -1.9134, 'learning_rate': 6.139534883720931e-05, 'epoch': 30.7}
{'loss': -1.9426, 'learning_rate': 6.325581395348838e-05, 'epoch': 31.63}
{'loss': -1.9686, 'learning_rate': 6.511627906976745e-05, 'epoch': 32.56}
{'loss': -1.9951, 'learning_rate': 6.697674418604652e-05, 'epoch': 33.49}
{'loss': -2.0193, 'learning_rate': 6.883720930232558e-05, 'epoch': 34.42}
{'loss': -2.0487, 'learning_rate': 7.069767441860465e-05, 'epoch': 35.35}
{'loss': -2.0729, 'learning_rate': 7.255813953488373e-05, 'epoch': 36.28}
{'loss': -2.0923, 'learning_rate': 7.441860465116279e-05, 'epoch': 37.21}
{'loss': -2.108, 'learning_rate': 7.627906976744187e-05, 'epoch': 38.14}
{'loss': -2.1296, 'learning_rate': 7.813953488372094e-05, 'epoch': 39.07}
{'loss': -2.1404, 'learning_rate': 8e-05, 'epoch': 40.0}
