no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'add_surface_index': True, 'eval_from': None, 'test_seed': 42, 'Tx_id': 0, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'Ofunc': False, 'noise_sample': 5, 'test_pp': False, 'path': None, 'data_postfix': '_noise', 'data_prefix': 'allTx', 'gen_func': <function gen_data_sample_across_rx at 0x1506061fcd30>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== loading Data from /proj/gaia/RayDT/dataset/processed_data/train/all_Tx_data/allTx_HFds__noise_noise_5__20240607_123136_obj_2 ==========
========== Loading surface index ==========
NODE_ATTR_TENSOR is loaded
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 4.7069, 'grad_norm': 5.232973575592041, 'learning_rate': 3.738317757009346e-07, 'epoch': 0.19}
{'loss': 4.6998, 'grad_norm': 5.258786201477051, 'learning_rate': 7.476635514018693e-07, 'epoch': 0.37}
{'loss': 4.6795, 'grad_norm': 5.260130405426025, 'learning_rate': 1.1214953271028036e-06, 'epoch': 0.56}
{'loss': 4.6432, 'grad_norm': 5.257897853851318, 'learning_rate': 1.4953271028037385e-06, 'epoch': 0.75}
{'loss': 4.6205, 'grad_norm': 5.2110595703125, 'learning_rate': 1.8691588785046728e-06, 'epoch': 0.93}
{'loss': 4.5805, 'grad_norm': 5.197511196136475, 'learning_rate': 2.2429906542056072e-06, 'epoch': 1.12}
{'loss': 4.5329, 'grad_norm': 5.188406944274902, 'learning_rate': 2.6168224299065425e-06, 'epoch': 1.31}
{'loss': 4.4653, 'grad_norm': 5.17540168762207, 'learning_rate': 2.990654205607477e-06, 'epoch': 1.5}
{'loss': 4.385, 'grad_norm': 5.143630504608154, 'learning_rate': 3.3644859813084115e-06, 'epoch': 1.68}
{'loss': 4.3001, 'grad_norm': 5.0904035568237305, 'learning_rate': 3.7383177570093455e-06, 'epoch': 1.87}
{'loss': 4.2091, 'grad_norm': 5.004904747009277, 'learning_rate': 4.112149532710281e-06, 'epoch': 2.06}
{'loss': 4.097, 'grad_norm': 4.895972728729248, 'learning_rate': 4.4859813084112145e-06, 'epoch': 2.24}
{'loss': 3.9592, 'grad_norm': 4.81057596206665, 'learning_rate': 4.85981308411215e-06, 'epoch': 2.43}
{'loss': 3.799, 'grad_norm': 4.664876937866211, 'learning_rate': 5.233644859813085e-06, 'epoch': 2.62}
{'loss': 3.6236, 'grad_norm': 4.458784580230713, 'learning_rate': 5.607476635514019e-06, 'epoch': 2.8}
{'loss': 3.4639, 'grad_norm': 4.205014228820801, 'learning_rate': 5.981308411214954e-06, 'epoch': 2.99}
{'loss': 3.2956, 'grad_norm': 3.97375226020813, 'learning_rate': 6.355140186915888e-06, 'epoch': 3.18}
{'loss': 3.133, 'grad_norm': 3.8112096786499023, 'learning_rate': 6.728971962616823e-06, 'epoch': 3.36}
{'loss': 2.9604, 'grad_norm': 3.6497979164123535, 'learning_rate': 7.102803738317758e-06, 'epoch': 3.55}
{'loss': 2.8027, 'grad_norm': 3.4889707565307617, 'learning_rate': 7.476635514018691e-06, 'epoch': 3.74}
{'loss': 2.6818, 'grad_norm': 3.303809881210327, 'learning_rate': 7.850467289719626e-06, 'epoch': 3.93}
{'loss': 2.5763, 'grad_norm': 3.1563479900360107, 'learning_rate': 8.224299065420562e-06, 'epoch': 4.11}
{'loss': 2.4829, 'grad_norm': 2.97558331489563, 'learning_rate': 8.598130841121496e-06, 'epoch': 4.3}
{'loss': 2.3643, 'grad_norm': 2.857987880706787, 'learning_rate': 8.971962616822429e-06, 'epoch': 4.49}
{'loss': 2.2654, 'grad_norm': 2.7066850662231445, 'learning_rate': 9.345794392523365e-06, 'epoch': 4.67}
{'loss': 2.1749, 'grad_norm': 2.5704472064971924, 'learning_rate': 9.7196261682243e-06, 'epoch': 4.86}
{'loss': 2.103, 'grad_norm': 2.4272234439849854, 'learning_rate': 1.0093457943925234e-05, 'epoch': 5.05}
{'loss': 2.0201, 'grad_norm': 2.2899506092071533, 'learning_rate': 1.046728971962617e-05, 'epoch': 5.23}
{'loss': 1.9203, 'grad_norm': 2.2056093215942383, 'learning_rate': 1.0841121495327103e-05, 'epoch': 5.42}
{'loss': 1.8159, 'grad_norm': 2.1098568439483643, 'learning_rate': 1.1214953271028037e-05, 'epoch': 5.61}
{'loss': 1.7105, 'grad_norm': 2.0416574478149414, 'learning_rate': 1.1588785046728972e-05, 'epoch': 5.79}
{'loss': 1.6207, 'grad_norm': 1.9773863554000854, 'learning_rate': 1.1962616822429908e-05, 'epoch': 5.98}
{'loss': 1.5172, 'grad_norm': 1.939653754234314, 'learning_rate': 1.233644859813084e-05, 'epoch': 6.17}
{'loss': 1.4137, 'grad_norm': 1.9455376863479614, 'learning_rate': 1.2710280373831775e-05, 'epoch': 6.36}
{'loss': 1.2816, 'grad_norm': 1.9630564451217651, 'learning_rate': 1.308411214953271e-05, 'epoch': 6.54}
{'loss': 1.1517, 'grad_norm': 1.9024673700332642, 'learning_rate': 1.3457943925233646e-05, 'epoch': 6.73}
{'loss': 1.0112, 'grad_norm': 1.746827483177185, 'learning_rate': 1.3831775700934579e-05, 'epoch': 6.92}
{'loss': 0.9037, 'grad_norm': 1.6021004915237427, 'learning_rate': 1.4205607476635517e-05, 'epoch': 7.1}
{'loss': 0.7994, 'grad_norm': 1.4691429138183594, 'learning_rate': 1.457943925233645e-05, 'epoch': 7.29}
{'loss': 0.6717, 'grad_norm': 1.427351713180542, 'learning_rate': 1.4953271028037382e-05, 'epoch': 7.48}
{'loss': 0.5592, 'grad_norm': 1.4870905876159668, 'learning_rate': 1.5327102803738318e-05, 'epoch': 7.66}
{'loss': 0.4442, 'grad_norm': 1.4254846572875977, 'learning_rate': 1.570093457943925e-05, 'epoch': 7.85}
{'loss': 0.3495, 'grad_norm': 1.3064615726470947, 'learning_rate': 1.607476635514019e-05, 'epoch': 8.04}
{'loss': 0.2572, 'grad_norm': 1.3337440490722656, 'learning_rate': 1.6448598130841123e-05, 'epoch': 8.22}
{'loss': 0.1602, 'grad_norm': 1.3382668495178223, 'learning_rate': 1.6822429906542056e-05, 'epoch': 8.41}
{'loss': 0.0594, 'grad_norm': 1.599644422531128, 'learning_rate': 1.7196261682242992e-05, 'epoch': 8.6}
{'loss': -0.0297, 'grad_norm': 1.2565937042236328, 'learning_rate': 1.7570093457943925e-05, 'epoch': 8.79}
{'loss': -0.1211, 'grad_norm': 1.5283743143081665, 'learning_rate': 1.7943925233644858e-05, 'epoch': 8.97}
{'loss': -0.193, 'grad_norm': 1.566356897354126, 'learning_rate': 1.8317757009345794e-05, 'epoch': 9.16}
{'loss': -0.2576, 'grad_norm': 1.7134079933166504, 'learning_rate': 1.869158878504673e-05, 'epoch': 9.35}
{'loss': -0.3434, 'grad_norm': 1.9958158731460571, 'learning_rate': 1.9065420560747666e-05, 'epoch': 9.53}
{'loss': -0.4128, 'grad_norm': 1.4732742309570312, 'learning_rate': 1.94392523364486e-05, 'epoch': 9.72}
{'loss': -0.4872, 'grad_norm': 1.670734167098999, 'learning_rate': 1.9813084112149532e-05, 'epoch': 9.91}
{'loss': -0.5396, 'grad_norm': 1.5511411428451538, 'learning_rate': 2.0186915887850468e-05, 'epoch': 10.09}
{'loss': -0.5928, 'grad_norm': 1.6371469497680664, 'learning_rate': 2.05607476635514e-05, 'epoch': 10.28}
{'loss': -0.6578, 'grad_norm': 1.977225661277771, 'learning_rate': 2.093457943925234e-05, 'epoch': 10.47}
{'loss': -0.716, 'grad_norm': 2.1215176582336426, 'learning_rate': 2.1308411214953273e-05, 'epoch': 10.65}
{'loss': -0.7676, 'grad_norm': 2.315980911254883, 'learning_rate': 2.1682242990654206e-05, 'epoch': 10.84}
{'loss': -0.8089, 'grad_norm': 2.0930888652801514, 'learning_rate': 2.2056074766355142e-05, 'epoch': 11.03}
{'loss': -0.8495, 'grad_norm': 1.7706608772277832, 'learning_rate': 2.2429906542056075e-05, 'epoch': 11.21}
{'loss': -0.8862, 'grad_norm': 2.2559938430786133, 'learning_rate': 2.2803738317757008e-05, 'epoch': 11.4}
{'loss': -0.939, 'grad_norm': 2.3519093990325928, 'learning_rate': 2.3177570093457944e-05, 'epoch': 11.59}
{'loss': -0.9725, 'grad_norm': 1.7979254722595215, 'learning_rate': 2.355140186915888e-05, 'epoch': 11.78}
{'loss': -1.0164, 'grad_norm': 2.3126673698425293, 'learning_rate': 2.3925233644859816e-05, 'epoch': 11.96}
{'loss': -1.044, 'grad_norm': 1.7664053440093994, 'learning_rate': 2.429906542056075e-05, 'epoch': 12.15}
{'loss': -1.0644, 'grad_norm': 2.629178762435913, 'learning_rate': 2.467289719626168e-05, 'epoch': 12.34}
{'loss': -1.1128, 'grad_norm': 2.8501639366149902, 'learning_rate': 2.5046728971962618e-05, 'epoch': 12.52}
{'loss': -1.1506, 'grad_norm': 4.529272079467773, 'learning_rate': 2.542056074766355e-05, 'epoch': 12.71}
{'loss': -1.1901, 'grad_norm': 2.1618592739105225, 'learning_rate': 2.5794392523364487e-05, 'epoch': 12.9}
{'loss': -1.2125, 'grad_norm': 2.896653175354004, 'learning_rate': 2.616822429906542e-05, 'epoch': 13.08}
{'loss': -1.2398, 'grad_norm': 2.4117748737335205, 'learning_rate': 2.654205607476636e-05, 'epoch': 13.27}
{'loss': -1.2671, 'grad_norm': 3.0910229682922363, 'learning_rate': 2.6915887850467292e-05, 'epoch': 13.46}
{'loss': -1.3076, 'grad_norm': 2.624689817428589, 'learning_rate': 2.7289719626168225e-05, 'epoch': 13.64}
{'loss': -1.3364, 'grad_norm': 2.5283303260803223, 'learning_rate': 2.7663551401869157e-05, 'epoch': 13.83}
{'loss': -1.3595, 'grad_norm': 3.162022113800049, 'learning_rate': 2.8037383177570094e-05, 'epoch': 14.02}
{'loss': -1.3798, 'grad_norm': 3.568356513977051, 'learning_rate': 2.8411214953271033e-05, 'epoch': 14.21}
{'loss': -1.3989, 'grad_norm': 3.1734776496887207, 'learning_rate': 2.8785046728971966e-05, 'epoch': 14.39}
{'loss': -1.4325, 'grad_norm': 2.830317974090576, 'learning_rate': 2.91588785046729e-05, 'epoch': 14.58}
{'loss': -1.4555, 'grad_norm': 3.172654390335083, 'learning_rate': 2.953271028037383e-05, 'epoch': 14.77}
{'loss': -1.4882, 'grad_norm': 2.767206907272339, 'learning_rate': 2.9906542056074764e-05, 'epoch': 14.95}
{'loss': -1.5096, 'grad_norm': 5.520120143890381, 'learning_rate': 3.0280373831775704e-05, 'epoch': 15.14}
{'loss': -1.5126, 'grad_norm': 6.039790153503418, 'learning_rate': 3.0654205607476637e-05, 'epoch': 15.33}
{'loss': -1.5411, 'grad_norm': 6.677094459533691, 'learning_rate': 3.102803738317757e-05, 'epoch': 15.51}
{'loss': -1.5631, 'grad_norm': 4.639636039733887, 'learning_rate': 3.14018691588785e-05, 'epoch': 15.7}
{'loss': -1.5939, 'grad_norm': 3.8896307945251465, 'learning_rate': 3.177570093457944e-05, 'epoch': 15.89}
{'loss': -1.6105, 'grad_norm': 4.716732978820801, 'learning_rate': 3.214953271028038e-05, 'epoch': 16.07}
{'loss': -1.6229, 'grad_norm': 2.9378368854522705, 'learning_rate': 3.2523364485981314e-05, 'epoch': 16.26}
{'loss': -1.6394, 'grad_norm': 2.8948302268981934, 'learning_rate': 3.289719626168225e-05, 'epoch': 16.45}
{'loss': -1.6702, 'grad_norm': 6.776224613189697, 'learning_rate': 3.327102803738318e-05, 'epoch': 16.64}
{'loss': -1.6865, 'grad_norm': 3.8238043785095215, 'learning_rate': 3.364485981308411e-05, 'epoch': 16.82}
{'loss': -1.7089, 'grad_norm': 5.64769983291626, 'learning_rate': 3.401869158878505e-05, 'epoch': 17.01}
{'loss': -1.721, 'grad_norm': 4.664275169372559, 'learning_rate': 3.4392523364485985e-05, 'epoch': 17.2}
{'loss': -1.7273, 'grad_norm': 5.238175868988037, 'learning_rate': 3.476635514018692e-05, 'epoch': 17.38}
{'loss': -1.7547, 'grad_norm': 4.491094589233398, 'learning_rate': 3.514018691588785e-05, 'epoch': 17.57}
{'loss': -1.7681, 'grad_norm': 3.979227304458618, 'learning_rate': 3.551401869158878e-05, 'epoch': 17.76}
{'loss': -1.7929, 'grad_norm': 7.182248592376709, 'learning_rate': 3.5887850467289716e-05, 'epoch': 17.94}
{'loss': -1.803, 'grad_norm': 3.8470027446746826, 'learning_rate': 3.6261682242990655e-05, 'epoch': 18.13}
{'loss': -1.8028, 'grad_norm': 4.117086410522461, 'learning_rate': 3.663551401869159e-05, 'epoch': 18.32}
{'loss': -1.8243, 'grad_norm': 5.006169319152832, 'learning_rate': 3.700934579439253e-05, 'epoch': 18.5}
{'loss': -1.8428, 'grad_norm': 4.8372483253479, 'learning_rate': 3.738317757009346e-05, 'epoch': 18.69}
{'loss': -1.8638, 'grad_norm': 4.4955878257751465, 'learning_rate': 3.775700934579439e-05, 'epoch': 18.88}
{'loss': -1.874, 'grad_norm': 5.652858734130859, 'learning_rate': 3.813084112149533e-05, 'epoch': 19.07}
{'loss': -1.8833, 'grad_norm': 6.545832633972168, 'learning_rate': 3.8504672897196265e-05, 'epoch': 19.25}
{'loss': -1.8914, 'grad_norm': 4.692917823791504, 'learning_rate': 3.88785046728972e-05, 'epoch': 19.44}
{'loss': -1.9157, 'grad_norm': 4.013580322265625, 'learning_rate': 3.925233644859813e-05, 'epoch': 19.63}
{'loss': -1.929, 'grad_norm': 7.82806396484375, 'learning_rate': 3.9626168224299064e-05, 'epoch': 19.81}
{'loss': -1.9388, 'grad_norm': 9.748897552490234, 'learning_rate': 4e-05, 'epoch': 20.0}
{'loss': -1.9444, 'grad_norm': 11.05389404296875, 'learning_rate': 4.0373831775700936e-05, 'epoch': 20.19}
{'loss': -1.938, 'grad_norm': 16.463010787963867, 'learning_rate': 4.074766355140187e-05, 'epoch': 20.37}
{'loss': -1.955, 'grad_norm': 8.846305847167969, 'learning_rate': 4.11214953271028e-05, 'epoch': 20.56}
{'loss': -1.9672, 'grad_norm': 5.9371113777160645, 'learning_rate': 4.149532710280374e-05, 'epoch': 20.75}
{'loss': -1.9898, 'grad_norm': 4.226040840148926, 'learning_rate': 4.186915887850468e-05, 'epoch': 20.93}
{'loss': -1.9987, 'grad_norm': 11.70824909210205, 'learning_rate': 4.2242990654205613e-05, 'epoch': 21.12}
{'loss': -1.9978, 'grad_norm': 5.613584041595459, 'learning_rate': 4.2616822429906546e-05, 'epoch': 21.31}
{'loss': -2.0128, 'grad_norm': 4.641210079193115, 'learning_rate': 4.299065420560748e-05, 'epoch': 21.5}
{'loss': -2.0304, 'grad_norm': 13.305903434753418, 'learning_rate': 4.336448598130841e-05, 'epoch': 21.68}
{'loss': -2.041, 'grad_norm': 21.895427703857422, 'learning_rate': 4.373831775700935e-05, 'epoch': 21.87}
{'loss': -2.0462, 'grad_norm': 8.14902400970459, 'learning_rate': 4.4112149532710284e-05, 'epoch': 22.06}
{'loss': -2.0548, 'grad_norm': 7.798012733459473, 'learning_rate': 4.448598130841122e-05, 'epoch': 22.24}
{'loss': -2.0616, 'grad_norm': 3.005129814147949, 'learning_rate': 4.485981308411215e-05, 'epoch': 22.43}
{'loss': -2.0812, 'grad_norm': 8.06743335723877, 'learning_rate': 4.523364485981308e-05, 'epoch': 22.62}
{'loss': -2.0926, 'grad_norm': 9.27950668334961, 'learning_rate': 4.5607476635514015e-05, 'epoch': 22.8}
{'loss': -2.1087, 'grad_norm': 13.690523147583008, 'learning_rate': 4.5981308411214955e-05, 'epoch': 22.99}
{'loss': -2.1129, 'grad_norm': 12.20386791229248, 'learning_rate': 4.635514018691589e-05, 'epoch': 23.18}
{'loss': -2.1097, 'grad_norm': 7.431324481964111, 'learning_rate': 4.672897196261683e-05, 'epoch': 23.36}
{'loss': -2.1341, 'grad_norm': 4.527159214019775, 'learning_rate': 4.710280373831776e-05, 'epoch': 23.55}
{'loss': -2.1416, 'grad_norm': 11.799245834350586, 'learning_rate': 4.747663551401869e-05, 'epoch': 23.74}
{'loss': -2.1628, 'grad_norm': 10.050381660461426, 'learning_rate': 4.785046728971963e-05, 'epoch': 23.93}
{'loss': -2.1653, 'grad_norm': 7.929249286651611, 'learning_rate': 4.8224299065420565e-05, 'epoch': 24.11}
{'loss': -2.1643, 'grad_norm': 6.8209228515625, 'learning_rate': 4.85981308411215e-05, 'epoch': 24.3}
{'loss': -2.1812, 'grad_norm': 6.748920917510986, 'learning_rate': 4.897196261682243e-05, 'epoch': 24.49}
{'loss': -2.1975, 'grad_norm': 10.66089916229248, 'learning_rate': 4.934579439252336e-05, 'epoch': 24.67}
{'loss': -2.2123, 'grad_norm': 15.087614059448242, 'learning_rate': 4.97196261682243e-05, 'epoch': 24.86}
{'loss': -2.2211, 'grad_norm': 7.439088821411133, 'learning_rate': 5.0093457943925236e-05, 'epoch': 25.05}
{'loss': -2.2242, 'grad_norm': 16.45999526977539, 'learning_rate': 5.046728971962617e-05, 'epoch': 25.23}
{'loss': -2.2303, 'grad_norm': 8.59267520904541, 'learning_rate': 5.08411214953271e-05, 'epoch': 25.42}
{'loss': -2.2464, 'grad_norm': 15.834526062011719, 'learning_rate': 5.121495327102804e-05, 'epoch': 25.61}
{'loss': -2.246, 'grad_norm': 15.165529251098633, 'learning_rate': 5.1588785046728973e-05, 'epoch': 25.79}
{'loss': -2.2648, 'grad_norm': 16.109886169433594, 'learning_rate': 5.196261682242991e-05, 'epoch': 25.98}
{'loss': -2.2713, 'grad_norm': 14.604020118713379, 'learning_rate': 5.233644859813084e-05, 'epoch': 26.17}
{'loss': -2.2678, 'grad_norm': 6.85396671295166, 'learning_rate': 5.271028037383178e-05, 'epoch': 26.36}
{'loss': -2.287, 'grad_norm': 7.0377397537231445, 'learning_rate': 5.308411214953272e-05, 'epoch': 26.54}
{'loss': -2.2911, 'grad_norm': 7.416783332824707, 'learning_rate': 5.3457943925233644e-05, 'epoch': 26.73}
{'loss': -2.3141, 'grad_norm': 11.57486629486084, 'learning_rate': 5.3831775700934584e-05, 'epoch': 26.92}
{'loss': -2.3148, 'grad_norm': 18.627622604370117, 'learning_rate': 5.420560747663551e-05, 'epoch': 27.1}
{'loss': -2.3111, 'grad_norm': 7.421688556671143, 'learning_rate': 5.457943925233645e-05, 'epoch': 27.29}
{'loss': -2.3218, 'grad_norm': 18.256732940673828, 'learning_rate': 5.495327102803739e-05, 'epoch': 27.48}
{'loss': -2.3369, 'grad_norm': 14.429947853088379, 'learning_rate': 5.5327102803738315e-05, 'epoch': 27.66}
{'loss': -2.3492, 'grad_norm': 8.086776733398438, 'learning_rate': 5.5700934579439254e-05, 'epoch': 27.85}
