no change     /proj/gaia/RayDT/mamba_ray/condabin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda
no change     /proj/gaia/RayDT/mamba_ray/bin/conda-env
no change     /proj/gaia/RayDT/mamba_ray/bin/activate
no change     /proj/gaia/RayDT/mamba_ray/bin/deactivate
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.sh
no change     /proj/gaia/RayDT/mamba_ray/etc/fish/conf.d/conda.fish
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/Conda.psm1
no change     /proj/gaia/RayDT/mamba_ray/shell/condabin/conda-hook.ps1
no change     /proj/gaia/RayDT/mamba_ray/lib/python3.10/site-packages/xontrib/conda.xsh
no change     /proj/gaia/RayDT/mamba_ray/etc/profile.d/conda.csh
no change     /home/x_yifji/.bashrc
No action taken.
config =  {'env_index': 2, 'Tx_id': 1, 'allTx': True, 'Rx_id': None, 'Rx1_id': None, 'Rx2_id': None, 'debug_path_flag': False, 'path_id': 6, 'add_noise': True, 'optim_load': False, 'small_batch': False, 'big_batch': False, 'debug': False, 'produce_fig': False, 'wandb': True, 'replot_baseline_only': False, 'test_seed': 42, 'eval_from': None, 'Ofunc': False, 'noise_sample': 5, 'path': None, 'data_prefix': 'allTx', 'data_postfix': '_noise', 'gen_func': <function gen_data_sample_across_rx at 0x153447997010>}
========== Training config ==========
Found matching repo: allTx_HFds__noise_noise_5__20240607_123136_obj_2
========== Training Data is loaded ==========
========== Model is initialized ==========
{'loss': 1.6332, 'learning_rate': 3.738317757009346e-07, 'epoch': 0.19}
{'loss': 1.6285, 'learning_rate': 7.476635514018693e-07, 'epoch': 0.37}
{'loss': 1.6173, 'learning_rate': 1.1214953271028036e-06, 'epoch': 0.56}
{'loss': 1.6012, 'learning_rate': 1.4953271028037385e-06, 'epoch': 0.75}
{'loss': 1.5813, 'learning_rate': 1.8691588785046728e-06, 'epoch': 0.93}
{'loss': 1.5562, 'learning_rate': 2.2429906542056072e-06, 'epoch': 1.12}
{'loss': 1.5261, 'learning_rate': 2.6168224299065425e-06, 'epoch': 1.31}
{'loss': 1.4897, 'learning_rate': 2.990654205607477e-06, 'epoch': 1.5}
{'loss': 1.4494, 'learning_rate': 3.3644859813084115e-06, 'epoch': 1.68}
{'loss': 1.4001, 'learning_rate': 3.7383177570093455e-06, 'epoch': 1.87}
{'loss': 1.3471, 'learning_rate': 4.112149532710281e-06, 'epoch': 2.06}
{'loss': 1.2848, 'learning_rate': 4.4859813084112145e-06, 'epoch': 2.24}
{'loss': 1.2172, 'learning_rate': 4.85981308411215e-06, 'epoch': 2.43}
{'loss': 1.1386, 'learning_rate': 5.233644859813085e-06, 'epoch': 2.62}
{'loss': 1.0533, 'learning_rate': 5.607476635514019e-06, 'epoch': 2.8}
{'loss': 0.9579, 'learning_rate': 5.981308411214954e-06, 'epoch': 2.99}
{'loss': 0.8638, 'learning_rate': 6.355140186915888e-06, 'epoch': 3.18}
{'loss': 0.7632, 'learning_rate': 6.728971962616823e-06, 'epoch': 3.36}
{'loss': 0.6753, 'learning_rate': 7.102803738317758e-06, 'epoch': 3.55}
